IBUName,Skier,ID,Nation,StartOrder,Bib,Is_Host_Nation,In_Startlist,Elo,Individual_Elo,Sprint_Elo,Pursuit_Elo,MassStart_Elo,Race_Elo,Race1_Prob,City,Country,Race_Type,Race_Date
BENDIKA Baiba,Baiba Bendika,531,LAT,32,32,False,True,1389.8887801798728,1313.0592243520578,1423.4052424871718,1196.2629507773142,1250.963929066152,1196.2629507773142,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
FREED Margie,Margie Freed,3044,USA,13,13,False,True,1387.6811329568973,1313.047226644382,1376.1354536957922,1171.9829756062843,1297.5375749582474,1171.9829756062843,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
AVVAKUMOVA Ekaterina,Ekaterina Avvakumova,1638,KOR,60,60,False,True,1194.4792566821836,1288.489914474342,1182.2386174421076,1149.362050800892,1282.1186030603053,1149.362050800892,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
Franziska Preuß,Franziska Preuß,926,Germany,999,999,False,False,1756.1480974317583,1625.3228705110728,1692.1207328968696,1562.1240427411212,1392.843501087679,1562.1240427411212,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Dorothea Wierer,Dorothea Wierer,54,Italy,999,999,False,False,1645.6007903794216,1550.1031675054062,1607.9955816775814,1480.2815274832644,1339.7771581878292,1480.2815274832644,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Marketa Davidova,Marketa Davidova,1394,Czechia,999,999,False,False,1494.4782869170112,1467.3091700097625,1475.0762675997412,1441.5239820446636,1299.9693070609087,1441.5239820446636,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Karoline Offigstad Knotten,Karoline Offigstad Knotten,1275,Norway,999,999,True,False,1531.807486807464,1439.8959250981593,1527.2801278399534,1429.0131766559214,1302.206186073803,1429.0131766559214,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Jeanne Richard,Jeanne Richard,2680,France,999,999,False,False,1584.7789456835858,1483.3874338542869,1586.38929951656,1416.940414499305,1320.6002404727633,1416.940414499305,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Monika Hojnisz-Staręga,Monika Hojnisz-Staręga,74,Poland,999,999,False,False,1389.7028210327178,1445.1551983708016,1353.5563110984572,1392.3570241809118,1302.1115522101245,1392.3570241809118,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Amy Baserga,Amy Baserga,2261,Switzerland,999,999,False,False,1443.1533712090736,1449.460188411992,1438.6567929169264,1382.410909227067,1310.7101028162847,1382.410909227067,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Yuliia Dzhima,Yuliia Dzhima,505,Ukraine,999,999,False,False,1317.2163519197338,1370.7947416117954,1344.972528322033,1351.703215815457,1253.6457300100249,1351.703215815457,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Hanna Kebinger,Hanna Kebinger,2413,Germany,999,999,False,False,1428.2855605209952,1367.3494927865422,1404.5276067117277,1342.4153049562603,1317.9019043431372,1342.4153049562603,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Estere Volfa,Estere Volfa,2865,Latvia,999,999,False,False,1474.051216466278,1337.4080022191172,1407.0199109936614,1336.5080905215775,1290.0509167867365,1336.5080905215775,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Anna Weidel,Anna Weidel,1337,Germany,999,999,False,False,1459.1544259862403,1287.5448293874078,1455.027948324605,1335.710989965151,1306.4709710329837,1335.710989965151,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Milena Todorova,Milena Todorova,1598,Bulgaria,999,999,False,False,1505.7543208976192,1288.8620552626478,1563.083297899047,1329.972922307811,1289.5660179002102,1329.972922307811,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Lotte Lie,Lotte Lie,1237,Belgium,999,999,False,False,1427.1975983344466,1440.2697394126296,1428.764441173497,1329.489513530062,1285.0077049561853,1329.489513530062,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Gilonne Guigonnat,Gilonne Guigonnat,1805,France,999,999,False,False,1455.0990146336344,1357.327569959156,1448.205423511165,1328.5824277780782,1320.792393596247,1328.5824277780782,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Marit Ishol Skogan,Marit Ishol Skogan,2269,Norway,999,999,True,False,1330.5804660766155,1285.0334160309658,1379.6745911455248,1327.049148623467,1262.576317793272,1327.049148623467,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Marit Øygard,Marit Øygard,1804,Norway,999,999,True,False,1324.3157302430068,1286.2309871812513,1299.2385451684036,1317.673871011703,1284.479084914658,1317.673871011703,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Fany Bertrand,Fany Bertrand,2679,France,999,999,False,False,1411.635837389568,1301.379754801188,1406.8861023113589,1315.9732989818474,1301.307003592893,1315.9732989818474,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Jessica Jislova,Jessica Jislova,958,Czechia,999,999,False,False,1275.7654220087754,1383.559415809349,1238.4298662292947,1308.0502827235418,1254.2648534029931,1308.0502827235418,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Celia Henaff,Celia Henaff,3100,France,999,999,False,False,1427.6095299667184,1331.2865736884926,1413.928153348995,1307.97051661285,1305.4782340890338,1307.97051661285,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Frida Dokken,Frida Dokken,2586,Norway,999,999,True,False,1296.33655213194,1309.9342106172044,1286.4775170699663,1305.7187293370391,1287.3101631810684,1305.7187293370391,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Paula Botet,Paula Botet,2417,France,999,999,False,False,1436.3763426159026,1334.5142271696718,1413.2581430490093,1301.598190887632,1309.4751769709692,1301.598190887632,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Amelia Liszka,Amelia Liszka,2889,Poland,999,999,False,False,1261.6584316741255,1293.660352227929,1273.295555626584,1300.539482787961,1298.4395367140407,1300.539482787961,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Gunn Tvinnereim,Gunn Tvinnereim,2728,Norway,999,999,True,False,1287.681795274582,1308.8421410427952,1283.4800230915544,1300.3291957800818,1287.5445228209012,1300.3291957800818,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Dorina Puscariu,Dorina Puscariu,2797,Romania,999,999,False,False,927.4654376639072,1140.0646474914631,956.57713401946,1300.0,1300.0,1300.0,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
Maren Brännare-Gran,Maren Brännare-Gran,3061,Norway,999,999,True,False,1283.0023962213977,1296.8608727103767,1295.174653023693,1300.0,1276.9057548094795,1300.0,0.0,Holmenkollen,Norway,Pursuit,03/21/2026
