"IBUName","Skier","ID","Nation","StartOrder","Bib","Is_Host_Nation","In_Startlist","Elo","Individual_Elo","Sprint_Elo","Pursuit_Elo","MassStart_Elo","Race_Elo","Race1_Prob","City","Country","Race_Type","Race_Date","Sex","Race2_Prob"
"PUCHIANU Cornel","Cornel Puchianu",986,"ROU",78,78,"False","True",1183.97294131011,1215.6952646905,1193.93668930366,1188.49484691806,1267.65458958931,1215.6952646905,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"PATRIJUKS Aleksandrs","Aleksandrs Patrijuks",1038,"LAT",90,90,"False","True",1146.1156329728,1215.11118471968,1127.64909714848,1273.36254736436,1296.26063741603,1215.11118471968,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"BADACZ Konrad","Konrad Badacz",4730,"POL",5,5,"False","True",1483.76432656031,1214.01751948631,1483.10038025675,1257.87589160601,1263.01502046321,1214.01751948631,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"OBERHAUSER Magnus","Magnus Oberhauser",3518,"AUT",12,12,"False","True",1179.60043914498,1211.81614407421,1173.29684637409,1298.69173210602,1259.68128433624,1211.81614407421,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"MUKHIN Alexandr","Alexandr Mukhin",4530,"KAZ",98,98,"False","True",1098.19791585083,1206.18826641415,1145.74332853064,1197.56586382548,1289.1274077075,1206.18826641415,1,"Mesto","Czechia","Individual","01/22/2026","M",0.04
"TACHIZAKI Mikito","Mikito Tachizaki",923,"JPN",2,2,"False","True",1133.79039304247,1204.11784646078,1145.0947163907,1209.08866824428,1298.7785674557,1204.11784646078,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"REPNIK Matic","Matic Repnik",4490,"SLO",70,70,"False","True",1191.61210746019,1203.40939753599,1224.06984168487,1254.83638027193,1280.32514410232,1203.40939753599,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"MISE Edgars","Edgars Mise",4425,"LAT",35,35,"False","True",1143.42245218197,1197.78712367479,1142.69435334679,1261.62372828397,1281.41571382988,1197.78712367479,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"BIRKENTALS Renars","Renars Birkentals",4452,"LAT",7,7,"False","True",1469.02826147409,1194.40373581175,1499.86106320805,1183.64249720148,1293.04087916481,1194.40373581175,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"BORGLUM Haldan","Haldan Borglum",4581,"CAN",85,85,"False","True",1180.70066170774,1190.52926750914,1209.62896363271,1293.27705206251,1296.86125459435,1190.52926750914,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"BRADFORD Noah","Noah Bradford",4993,"AUS",92,92,"False","True",1111.07783730447,1184.1998105238,1150.75562928898,1299.19895063499,1300,1184.1998105238,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"WEBB Marcus Bolin","Marcus Bolin Webb",4826,"GBR",88,88,"False","True",1080.0731266889,1181.38346190083,1096.85156982021,1288.83058280179,1291.72180693813,1181.38346190083,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"STRUM Matthew","Matthew Strum",1284,"CAN",93,93,"False","True",1244.4619694401,1179.35818512693,1244.47046056757,1252.1409560316,1266.10197547441,1179.35818512693,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"BORGULA Jakub","Jakub Borgula",4974,"SVK",27,27,"False","True",1240.50408781136,1174.9836570894,1262.28939426558,1213.67957859384,1296.88517747344,1174.9836570894,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"TIISLAR Rasmus","Karl Rasmus Tiislar",5016,"EST",87,87,"False","True",1266.1395346284,1173.87307203573,1260.35818787671,1281.96563125583,1300,1173.87307203573,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"CERVENKA Vaclav","Vaclav Cervenka",1798,"USA",25,25,"False","True",1165.52964426907,1172.6898010132,1181.14389765084,1280.96485855384,1269.39690212834,1172.6898010132,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"SKORUSA Wojciech","Wojciech Skorusa",3532,"POL",77,77,"False","True",1138.86184644527,1163.85246459369,1157.85587984247,1238.68202131051,1233.19589916516,1163.85246459369,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"DZHORGOV Georgi","Georgi Dzhorgov",5191,"BUL",95,95,"False","True",1214.28812768483,1161.71339425144,1217.79370474344,1292.39182332788,1276.41571382988,1161.71339425144,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"MAGAZEEV Pavel","Pavel Magazeev",544,"MDA",23,23,"False","True",1284.82484709425,1150.8827791713,1306.04893318992,1200.17621576511,1288.2056391872,1150.8827791713,1,"Mesto","Czechia","Individual","01/22/2026","M",0.04
"ZAWOL Marcin","Marcin Zawol",4560,"POL",66,66,"False","True",1174.0857657068,1138.49701729078,1194.17355728785,1206.90359710676,1296.99390097427,1138.49701729078,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"ZASHEV Vasil","Vasil Zashev",4567,"BUL",97,97,"False","True",1078.20228818552,1137.86668757066,1079.36225504752,1277.40774104563,1300,1137.86668757066,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"DYUSSENOV Asset","Asset Dyussenov",4838,"KAZ",49,49,"False","True",1164.32495127444,1128.94203710482,1164.36401353695,1264.00239542017,1251.67103020877,1128.94203710482,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"BEAUVAIS Cesar","Cesar Beauvais",1802,"BEL",89,89,"False","True",1066.42447676988,1117.68736226834,1059.45767522462,1283.83092656359,1292.61177109423,1117.68736226834,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"OJIMA Kiyomasa","Kiyomasa Ojima",5056,"JPN",99,99,"False","True",1099.87445274122,1114.42076103744,1126.16833452346,1279.74490214026,1287.1603669946,1114.42076103744,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"FLORE Raul","Raul Flore",1402,"ROU",83,83,"False","True",1050.96394387987,1102.17096395045,1064.65496457815,1258.01372623818,1293.38140110315,1102.17096395045,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"GUNKA Jan","Jan Gunka",4559,"POL",33,33,"False","True",1403.71718904942,1094.36055090124,1401.25279518351,1276.29137551727,1230.66137786104,1094.36055090124,1,"Mesto","Czechia","Individual","01/22/2026","M",0.0476190476190476
"BELCHINSKI Veselin","Veselin Belchinski",5085,"BUL",94,94,"False","True",1078.76776430231,1088.29029322777,1142.65494389207,1281.52811892348,1300,1088.29029322777,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"KARABADZHAKOV Valentin","Valentin Karabadzhakov",5068,"BUL",91,91,"False","True",962.421253501003,1052.81550541202,991.855117301568,1281.96563125583,1300,1052.81550541202,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"Sturla Holm Lægreid","Sturla Holm Lægreid",2753,"Norway",999,999,"False","False",1865.96332214626,1715.35425565682,1777.08689202085,1613.04397121053,1404.26045428355,1715.35425565682,0,"Mesto","Czechia","Individual","01/22/2026","M",0.96
"Andrejs Rastorgujevs","Andrejs Rastorgujevs",65,"Latvia",999,999,"False","False",1476.05487603244,1641.24500761676,1498.19588586593,1292.70964039119,1322.63628141419,1641.24500761676,0,"Mesto","Czechia","Individual","01/22/2026","M",0.52
"Vetle Sjåstad Christiansen","Vetle Sjåstad Christiansen",509,"Norway",999,999,"False","False",1721.29314063127,1633.14006999495,1624.30918691786,1544.42734946033,1435.50870198522,1633.14006999495,0,"Mesto","Czechia","Individual","01/22/2026","M",0.88
"Sivert Guttorm Bakken","Sivert Guttorm Bakken",1868,"Norway",999,999,"False","False",1715.32724637974,1623.45308842554,1606.69781079061,1412.26632166486,1315.97580106256,1623.45308842554,0,"Mesto","Czechia","Individual","01/22/2026","M",0.2
"Philipp Horn","Philipp Horn",1707,"Germany",999,999,"False","False",1654.66282347619,1614.73461234636,1644.74025201481,1380.26171248713,1272.92909412864,1614.73461234636,0,"Mesto","Czechia","Individual","01/22/2026","M",0.28
"Niklas Hartweg","Niklas Hartweg",3521,"Switzerland",999,999,"False","False",1573.67838604524,1607.70676241915,1567.33854130075,1397.8334860451,1296.78239110243,1607.70676241915,0,"Mesto","Czechia","Individual","01/22/2026","M",0.4
"Justus Strelow","Justus Strelow",1389,"Germany",999,999,"False","False",1557.19153564607,1598.81565220478,1554.94607858681,1385.81410985925,1365.03530763352,1598.81565220478,0,"Mesto","Czechia","Individual","01/22/2026","M",0.695652173913043
"Johannes Dale-Skjevdal","Johannes Dale-Skjevdal",3027,"Norway",999,999,"False","False",1858.30367161987,1595.14653254012,1736.68735958495,1580.77147170893,1383.71063582711,1595.14653254012,0,"Mesto","Czechia","Individual","01/22/2026","M",0.68
"Martin Uldal","Martin Uldal",4612,"Norway",999,999,"False","False",1742.5129137068,1588.98510327024,1636.18547406283,1480.300376816,1315.78126641951,1588.98510327024,0,"Mesto","Czechia","Individual","01/22/2026","M",0.222222222222222
"Philipp Nawrath","Philipp Nawrath",1091,"Germany",999,999,"False","False",1781.02346410232,1588.84471531237,1731.34072565177,1495.1676931425,1278.70963957666,1588.84471531237,0,"Mesto","Czechia","Individual","01/22/2026","M",0.72
"Florent Claude","Florent Claude",494,"Belgium",999,999,"False","False",1316.95620279599,1554.3940286795,1338.04954017335,1261.1540177855,1236.90478693351,1554.3940286795,0,"Mesto","Czechia","Individual","01/22/2026","M",0.52
"Jakob Kulbin","Jakob Kulbin",4854,"Estonia",999,999,"False","False",1148.97232256495,1547.0186166252,1126.75217246268,1249.62895179952,1297.39850603018,1547.0186166252,0,"Mesto","Czechia","Individual","01/22/2026","M",0
"Olli Hiidensalo","Olli Hiidensalo",920,"Finland",999,999,"False","False",1544.05310021195,1508.93305849356,1448.94822649692,1322.08637561981,1208.17808657445,1508.93305849356,0,"Mesto","Czechia","Individual","01/22/2026","M",0.24
"Jakov Fak","Jakov Fak",19,"Slovenia",999,999,"False","False",1432.20861560302,1498.97212816971,1480.78065663046,1373.69452764538,1336.01035438697,1498.97212816971,0,"Mesto","Czechia","Individual","01/22/2026","M",0.56
"Paul Schommer","Paul Schommer",1932,"USA",999,999,"False","False",1365.93598259795,1461.63790330872,1376.59263394435,1192.44627679343,1292.83138370157,1461.63790330872,0,"Mesto","Czechia","Individual","01/22/2026","M",0.04
"Vebjørn Sørum","Vebjørn Sørum",3520,"Norway",999,999,"False","False",1480.141483576,1459.34459394667,1473.10516971868,1435.84065756669,1291.81590015383,1459.34459394667,0,"Mesto","Czechia","Individual","01/22/2026","M",0.714285714285714
"David Zobel","David Zobel",1571,"Germany",999,999,"False","False",1653.28241572692,1455.80540451259,1610.16683749969,1358.64565274223,1251.48391232208,1455.80540451259,0,"Mesto","Czechia","Individual","01/22/2026","M",0.347826086956522
