IBUName,Skier,ID,Nation,StartOrder,Bib,Is_Host_Nation,In_Startlist,Elo,Individual_Elo,Sprint_Elo,Pursuit_Elo,MassStart_Elo,Race_Elo,Race1_Prob,City,Country,Race_Type,Race_Date
Egon Kvibacke,Egon Kvibacke,5595,Sweden,999,999,False,False,1294.4240611881446,1297.4898237678758,1297.9071472655553,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Kilian Simon,Kilian Simon,5594,Germany,999,999,False,False,1294.4240611881446,1297.4898237678758,1297.9071472655553,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Tanguy Fellay,Tanguy Fellay,5593,Switzerland,999,999,False,False,1294.4240611881446,1297.4898237678758,1297.9071472655553,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Thomas Hørthe,Thomas Hørthe,5592,Norway,999,999,False,False,1294.4240611881446,1297.4898237678758,1297.9071472655553,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Taje Hansen,Taje Hansen,5597,Canada,999,999,False,False,1294.4240611881446,1297.4898237678758,1297.9071472655553,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Jonas Tscholl,Jonas Tscholl,5591,Italy,999,999,False,False,1295.9640616080646,1297.4898237678758,1299.7675741949477,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Tom Bouillet,Tom Bouillet,5590,France,999,999,False,False,1295.9640616080646,1297.4898237678758,1299.7675741949477,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Emil Skjellberg,Emil Skjellberg,5497,Norway,999,999,False,False,1296.816736793072,1298.1914578847127,1300.303589583397,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Björn Hederich,Björn Hederich,5289,Germany,999,999,False,False,1294.4240611881446,1297.4898237678758,1297.9071472655553,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Nans Madelenat,Nans Madelenat,5463,France,999,999,False,False,1295.9640616080646,1297.4898237678758,1299.7675741949477,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Van Ledger,Van Ledger,4756,USA,999,999,False,False,1138.3437716253354,1206.0662083915977,1204.5750585157095,1296.184016953928,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Nicolae Zichil,Nicolae Zichil,5074,Romania,999,999,False,False,1063.2908725690595,1184.918331246167,1101.273867058432,1300.0,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Jesse Ravolainen,Jesse Ravolainen,5587,Finland,999,999,True,False,1281.9959876637486,1295.0347960038307,1290.2551423285931,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Jan Steinkasserer,Jan Steinkasserer,5599,Italy,999,999,False,False,1294.4240611881446,1297.4898237678758,1297.9071472655553,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Linus Strand,Linus Strand,5600,Norway,999,999,False,False,1294.4240611881446,1297.4898237678758,1297.9071472655553,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Simon  Kristofik,Simon  Kristofik,5453,Slovakia,999,999,False,False,1290.909592048097,1297.4898237678758,1293.9373115480137,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Olle Gedda,Olle Gedda,5319,Sweden,999,999,False,False,1294.4240611881446,1297.4898237678758,1297.9071472655553,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Yaroslav Harkusha,Yaroslav Harkusha,5485,Ukraine,999,999,False,False,1294.4240611881446,1297.4898237678758,1297.9071472655553,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Hugo Winter,Hugo Winter,5605,Germany,999,999,False,False,1294.4240611881446,1297.4898237678758,1297.9071472655553,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Yegor Nemtsev,Yegor Nemtsev,5603,Kazakhstan,999,999,False,False,1294.4240611881446,1297.4898237678758,1297.9071472655553,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Tim Denner,Tim Denner,5604,Austria,999,999,False,False,1294.4240611881446,1297.4898237678758,1297.9071472655553,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Michele Carollo,Michele Carollo,5125,Italy,999,999,False,False,1291.6395053846325,1298.5256481423005,1294.5815495057757,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Julian Huber,Julian Huber,5472,Italy,999,999,False,False,1295.309916962782,1298.1914578847127,1297.5359731572992,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Clemens Böhme,Clemens Böhme,5577,Germany,999,999,False,False,1281.15223387794,1295.3898837596564,1286.4009601131593,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Lukas Vejvoda,Lukas Vejvoda,5474,Czechia,999,999,False,False,1294.4610372127652,1297.4898237678758,1297.0013941010504,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Hannes Lipfert,Hannes Lipfert,5516,Germany,999,999,False,False,1296.0010379122084,1297.4898237678758,1298.8618210304428,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Korbi Kübler,Korbi Kübler,5291,Germany,999,999,False,False,1296.2369526578775,1302.38822248749,1294.7192099282552,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Simone Motta,Simone Motta,5508,Italy,999,999,False,False,1291.090522403474,1300.686175079093,1299.9440523540677,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Jakub Bouska,Jakub Bouska,5500,Czechia,999,999,False,False,1293.8485353131855,1304.0770272862967,1291.4434635356547,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Laurin Merz,Laurin Merz,5578,Switzerland,999,999,False,False,1294.4610372127652,1297.4898237678758,1297.0013941010504,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Nicola Giordano,Nicola Giordano,5132,Italy,999,999,False,False,1280.4380210075708,1295.3898837596564,1285.19482922789,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Fabian Wrona,Fabian Wrona,5407,Brazil,999,999,False,False,1265.805128119694,1291.8143535979275,1278.680216626847,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Sami Mesotitsch,Sami Mesotitsch,5399,Austria,999,999,False,False,1204.606958492925,1215.3666094416042,1293.3107413599496,1267.3926546130865,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Jakub Potoniec,Jakub Potoniec,5069,Poland,999,999,False,False,1244.4409968599266,1298.8563868033873,1243.5566997655324,1295.9603017615616,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Daniel Varikov,Daniel Varikov,5335,Estonia,999,999,False,False,1252.1403788882635,1278.8597087568137,1267.625202099785,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Michael Malek,Michael Malek,5476,Czechia,999,999,False,False,1294.866190378102,1298.1880743835277,1295.208315869134,1297.6061061844025,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Eric Anderson,Eric Anderson,5447,USA,999,999,False,False,1247.329657809997,1288.814682734392,1273.2704287582226,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Marten Presmann,Marten Presmann,5462,Estonia,999,999,False,False,1258.9873645574075,1248.2792000296781,1259.8107189872503,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Aidan Sands,Aidan Sands,5344,USA,999,999,False,False,1261.0074364828206,1287.8540107589993,1275.9175792686203,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Thomas Van De Kamp,Thomas Van De Kamp,5513,USA,999,999,False,False,1273.3007265930248,1294.0053689031315,1283.1868161401703,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Premysl Dolecek,Premysl Dolecek,5468,Czechia,999,999,False,False,1287.159802066171,1300.0,1289.6328681923876,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Dominik Lopuhhin,Dominik Lopuhhin,5487,Estonia,999,999,False,False,1272.8227622002198,1299.2175293620537,1283.7955934060928,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Kristians Karlsbergs,Kristians Karlsbergs,5076,Latvia,999,999,False,False,1178.2023064884747,1250.3118605398936,1211.7737075430923,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
Tristan Thrasher,Tristan Thrasher,5448,USA,999,999,False,False,1245.2160574264665,1284.025794315089,1265.315301804324,1281.474682203982,1300.0,1300.0,0.0,Kontiolahti,Finland,Mass Start,03/08/2026
