FIS_Name,Skier,Nation,In_FIS_List,Price,Team_Name,Team_Rank,Team_Time,Team_Position,Sex,Race_Type,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,ID,Race_Date,City,Country
FAEHNDRICH Nadine,Nadine Fähndrich,SUI,True,0,SWITZERLAND I,3,55:18.3,4,F,Mixed Relay,1619.4086114080285,1460.4264384241892,1433.1233698300596,1405.6718390675992,1697.9358929479563,1597.440479823672,1664.2640755449909,1548.3676024629065,1581.026188774229,1590,06/04/2025,Engadin,Switzerland
MOERK Martin Kirkeberg,Martin Kirkeberg Mørk,NOR,True,0,NORWAY II,4,55:18.8,1,M,Mixed Relay,1427.024565681092,1431.159468820295,1345.1990367610615,1352.1240447437128,1235.4921985793294,1233.6665042972922,1235.5639889927345,1349.238798443828,1360.5381403967317,12331,06/04/2025,Engadin,Switzerland
HARVIKEN Johanne Hauge,Johanne Hauge Harviken,NOR,True,0,NORWAY II,4,55:18.8,2,F,Mixed Relay,1359.356309142026,1309.8274324703889,1291.8043868055609,1316.849472447337,1355.9045472652097,1242.574866305937,1365.3874047322292,1292.3453518895724,1366.408403065678,2345,06/04/2025,Engadin,Switzerland
REE Andreas Fjorden,Andreas Fjorden Ree,NOR,True,0,NORWAY II,4,55:18.8,3,M,Mixed Relay,1640.9366092721375,1660.5201171780357,1510.4910020870989,1500.5437734561708,1268.4392070370116,1274.033001437041,1279.5948303988084,1507.5097312980083,1517.3312068304106,8678,06/04/2025,Engadin,Switzerland
KALVAA Anne Kjersti,Anne Kjersti Kalvå,NOR,True,0,NORWAY II,4,55:18.8,4,F,Mixed Relay,1573.0273378303975,1570.0511828519666,1459.778679681924,1528.886929435436,1470.3481651037484,1375.4180068647115,1476.16444206642,1466.8256858430116,1569.2904884148056,1498,06/04/2025,Engadin,Switzerland
NISKANEN Iivo,Iivo Niskanen,FIN,True,0,FINLAND I,5,55:24.1,1,M,Mixed Relay,1694.0945874145284,1722.521961673496,1678.1670960581423,1531.1949252139452,1403.612444913416,1412.126359898104,1349.9922421504182,1656.4377121581024,1543.342350946854,1470,06/04/2025,Engadin,Switzerland
JOENSUU Jasmi,Jasmi Joensuu,FIN,True,0,FINLAND I,5,55:24.1,2,F,Mixed Relay,1645.3356626985849,1475.653779300454,1462.4480238570106,1325.167377424111,1634.8709611128877,1530.001470704097,1608.4629388562355,1560.9893928588128,1572.3498088868546,1675,06/04/2025,Engadin,Switzerland
LINDHOLM Remi,Remi Lindholm,FIN,True,0,FINLAND I,5,55:24.1,3,M,Mixed Relay,1469.4536946999826,1485.141548088671,1362.2080835140428,1463.885898214723,1225.3241593099117,1271.5758046874842,1212.9485435077072,1369.9306614504185,1449.145862128115,5702,06/04/2025,Engadin,Switzerland
RYYTTY Vilma,Vilma Ryytty,FIN,True,0,FINLAND I,5,55:24.1,4,F,Mixed Relay,1285.8895721863914,1291.1972601870111,1227.3073407675577,1317.9594982170663,1259.210687704272,1242.574866305937,1244.7661457564716,1232.4373113344002,1304.7882590114166,6607,06/04/2025,Engadin,Switzerland
CYR Antoine,Antoine Cyr,CAN,True,0,CANADA I,6,55:30.0,1,M,Mixed Relay,1485.0955238246652,1528.1627303936352,1519.5470409767752,1409.849526437927,1388.7663712785964,1409.3901091149187,1331.8707645219415,1494.151673728957,1395.3358837341536,9225,06/04/2025,Engadin,Switzerland
STEWART-JONES Katherine,Kathrine Stewart-Jones,CAN,True,0,CANADA I,6,55:30.0,2,F,Mixed Relay,1367.427834733729,1409.3759119125646,1376.1321310568442,1377.699738653709,1213.9372624609068,1210.0633690591665,1229.2182081196804,1334.9191979024467,1350.4714336695324,1676,06/04/2025,Engadin,Switzerland
LEVEILLE Olivier,Olivier Leveille,CAN,True,0,CANADA I,6,55:30.0,3,M,Mixed Relay,1445.551785086084,1448.8684366257085,1366.4344582954698,1370.9929133038147,1233.6141352087898,1224.0809817167235,1249.7367620263574,1352.4927515611737,1378.5485913099533,14108,06/04/2025,Engadin,Switzerland
GAGNON Liliane,Liliane Gagnon,CAN,True,0,CANADA I,6,55:30.0,4,F,Mixed Relay,1366.606598420946,1326.788638326313,1265.7289686485951,1321.5212880909291,1343.0112144975944,1266.7168774775632,1358.578752779708,1261.617847294401,1367.049677099227,7427,06/04/2025,Engadin,Switzerland
FAEHNDRICH Cyril,Cyril Fähndrich,SUI,True,0,SWITZERLAND II,7,55:35.6,1,M,Mixed Relay,1393.7277253234254,1392.5140373676293,1381.6185819298378,1343.0039676453216,1330.363703519963,1269.736411814517,1341.2823447770986,1383.2740542039408,1354.0561030768622,9975,06/04/2025,Engadin,Switzerland
KAELIN Nadja,Nadja Kälin,SUI,True,0,SWITZERLAND II,7,55:35.6,2,F,Mixed Relay,1417.0911717909642,1431.9671854452629,1363.134107160342,1328.9904851893898,1269.6962572642624,1269.665130095562,1270.5212275932536,1355.390367270047,1330.6799054357484,6639,06/04/2025,Engadin,Switzerland
GROND Valerio,Valerio Grond,SUI,True,0,SWITZERLAND II,7,55:35.6,3,M,Mixed Relay,1547.2420294970168,1275.4978642848428,1247.9535422531676,1295.1832375614238,1667.7688961510826,1526.1963897535425,1667.3742129096763,1404.445755465818,1567.1807907409727,12164,06/04/2025,Engadin,Switzerland
KAELIN Marina,Marina Kälin,SUI,True,0,SWITZERLAND II,7,55:35.6,4,F,Mixed Relay,1346.4406107160528,1344.5864746020106,1328.4374459368437,1315.906945005648,1323.0063601680577,1298.865155547364,1323.7631769292211,1331.69455934837,1325.4610342098508,7433,06/04/2025,Engadin,Switzerland
VERMEULEN Mika,Mika Vermeulen,AUT,True,0,AUSTRIA I,8,55:57.1,1,M,Mixed Relay,1703.6498402371217,1739.8181383210513,1562.704697222518,1602.0714232084226,1329.5170529762363,1286.6775674848711,1314.5042246147284,1580.2111043677942,1579.3914223047848,12673,06/04/2025,Engadin,Switzerland
STADLOBER Teresa,Teresa Stadlober,AUT,True,0,AUSTRIA I,8,55:57.1,2,F,Mixed Relay,1636.9461184217682,1685.1444674259942,1632.073864251371,1525.9103356389944,1232.2979609541758,1247.556694862228,1219.485118398963,1586.7897728600055,1486.724003297314,529,06/04/2025,Engadin,Switzerland
MOSER Benjamin,Benjamin Moser,AUT,True,0,AUSTRIA I,8,55:57.1,3,M,Mixed Relay,1446.682537225322,1249.4265717648475,1246.80166981634,1261.789934511386,1517.2874791441388,1488.735281672586,1479.874553473191,1394.071615098185,1424.1574561832497,5989,06/04/2025,Engadin,Switzerland
BRUDERMANN Katharina,Katharina Brudermann,AUT,True,0,AUSTRIA I,8,55:57.1,4,F,Mixed Relay,1262.0330559292993,1267.385273865512,1281.0078244431982,1287.7955535136407,1269.630484433672,1273.401766712921,1282.4833303955168,1268.2175929046746,1282.7958631070337,5040,06/04/2025,Engadin,Switzerland
BOEGL Lucas,Lucas Bögl,GER,True,0,GERMANY I,9,56:23.7,1,M,Mixed Relay,1341.7296246259698,1352.8235020257898,1344.244057988611,1365.3524561222466,1133.8445403714356,1161.9270327893953,1125.549262605866,1347.4335102617824,1331.409669712301,1540,06/04/2025,Engadin,Switzerland
SAUERBREY Katherine,Katherine Sauerbrey,GER,True,0,GERMANY I,9,56:23.7,2,F,Mixed Relay,1414.9889742391615,1422.3324310118876,1419.4038220496798,1301.98047753655,1258.212700349978,1290.7369917482747,1235.0472549719643,1415.1083145119117,1289.3397749986796,1727,06/04/2025,Engadin,Switzerland
STOELBEN Jan,Jan Stoelben,GER,True,0,GERMANY I,9,56:23.7,3,M,Mixed Relay,1394.011787147084,1258.989061773612,1286.6530651237297,1240.0448539426234,1455.0136054518605,1387.5534394938863,1417.1996117495164,1348.9417423395491,1352.3589535218298,14033,06/04/2025,Engadin,Switzerland
DIETZE Anna-Maria,Anna-Maria Dietze,GER,True,0,GERMANY I,9,56:23.7,4,F,Mixed Relay,1320.2283386526262,1310.481663102864,1293.7988602987186,1305.6468886126606,1307.5895014029247,1273.95481360515,1331.0660875556134,1275.3833320322046,1337.9864468057208,3214,06/04/2025,Engadin,Switzerland
