"FISName","Skier","ID","Nation","StartOrder","Bib","Is_Host_Nation","In_Startlist","Year","Elo","Individual_Elo","Sprint_Elo","MassStart_Elo","IndividualCompact_Elo","Race_Elo","Race1_Prob","City","Country","Race_Type","Race_Date","Race2_Prob","Race3_Prob","Sex"
"Terence Weber","Terence Weber",1137,"Germany",999,999,"False","False",NA,1449.84838429861,1428.6696207995,1300,1381.7390899281,1428.50728265239,1381.7390899281,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.775,"M"
"Jens Dahlseide Kvamme","Jens Dahlseide Kvamme",2364,"Norway",999,999,"False","False",NA,1261.84884369631,1184.82476943828,1300,1313.00654162991,1268.85820158777,1313.00654162991,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.526315789473684,"M"
"Jørgen Berget Storsveen","Jørgen Berget Storsveen",2419,"Norway",999,999,"False","False",NA,1271.41000861289,1243.09254013257,1300,1302.38252943449,1287.43338389347,1302.38252943449,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.1,"M"
"Andreas Ottesen","Andreas Ottesen",1976,"Norway",999,999,"False","False",NA,1281.6710918804,1275.79450812599,1300,1301.94061597582,1290.98701495849,1301.94061597582,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.111111111111111,"M"
"Andrzej Szczechowicz","Andrzej Szczechowicz",1473,"Poland",999,999,"False","False",NA,1186.47638540019,1184.93858936051,1300,1301.1683724513,1273.82215801424,1301.1683724513,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.155844155844156,"M"
"Takuya Nakazawa","Takuya Nakazawa",2389,"Japan",999,999,"False","False",NA,1243.78668835144,1233.33379446824,1264.85459604425,1300.9931165836,1296.43910881683,1300.9931165836,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Lubin Martin","Lubin Martin",2407,"France",999,999,"False","False",NA,1233.46479537037,1220.8680273296,1300,1300.4633032665,1296.62568547693,1300.4633032665,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Andrzej Waliczek","Andrzej Waliczek",2383,"Poland",999,999,"False","False",NA,1249.96673525473,1230.41583875985,1300,1299.46868244379,1281.48436585543,1299.46868244379,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.133333333333333,"M"
"Arne Hohlfeld","Arne Hohlfeld",2460,"Germany",999,999,"False","False",NA,1199.53284419742,1186.07105219427,1300,1299.46868244379,1270.64011426588,1299.46868244379,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Illia Chebolda","Illia Chebolda",2434,"Ukraine",999,999,"False","False",NA,1198.66743275068,1197.21961471114,1300,1299.46868244379,1257.05623968494,1299.46868244379,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Kacper Jarzabek","Kacper Jarzabek",2391,"Poland",999,999,"False","False",NA,1260.51797021266,1260.73830806016,1300,1299.46868244379,1277.81970777033,1299.46868244379,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.0666666666666667,"M"
"David Liegl","David Liegl",2329,"Austria",999,999,"True","False",NA,1198.07402164885,1197.00111401897,1300,1299.4633032665,1282.62579241038,1299.4633032665,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Simon Pagnier","Simon Pagnier",2463,"France",999,999,"False","False",NA,1271.28735640716,1294.05020524978,1300,1298.4633032665,1257.05623968494,1298.4633032665,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Maximillian Vorderegger","Maximillian Vorderegger",2442,"Austria",999,999,"True","False",NA,1271.73095125357,1268.55290807132,1300,1298.4633032665,1277.19867282444,1298.4633032665,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Anze Brecl","Anze Brecl",2458,"Slovenia",999,999,"False","False",NA,1244.42106744618,1243.97044947262,1300,1298.4633032665,1257.05623968494,1298.4633032665,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Timon Brglez","Timon Brglez",2506,"Slovenia",999,999,"False","False",NA,1304.54373894424,1296.50238700304,1300,1298.24413425867,1257.05623968494,1298.24413425867,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Maksym Prokopiuk","Maksym Prokopiuk",2393,"Ukraine",999,999,"False","False",NA,1199.55524809751,1175.72835077353,1300,1297.93427559844,1257.05623968494,1297.93427559844,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Sean Steenbakkers","Sean Steenbakkers",2424,"Netherlands",999,999,"False","False",NA,1220.57370234805,1170.44674908141,1300,1297.93427559844,1287.03651066228,1297.93427559844,0,"Seefeld","Austria","Mass Start","01/30/2026",0,1,"M"
"Kenji Grossegger","Kenji Grossegger",2457,"Austria",999,999,"True","False",NA,1245.07232251356,1237.15578407038,1300,1297.93427559844,1257.05623968494,1297.93427559844,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Tobias Aichhorn","Tobias Aichhorn",2439,"Austria",999,999,"True","False",NA,1267.17360176135,1276.1682893659,1300,1297.93427559844,1257.05623968494,1297.93427559844,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Ansgar Schupp","Ansgar Schupp",2427,"Germany",999,999,"False","False",NA,1268.64166386499,1276.13094520045,1300,1297.93427559844,1257.05623968494,1297.93427559844,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Maximilian Slamik","Maximilian Slamik",2328,"Austria",999,999,"True","False",NA,1184.66610380735,1202.78720119163,1300,1297.93427559844,1294.43910881683,1297.93427559844,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Luis Rauch","Luis Rauch",2499,"Austria",999,999,"True","False",NA,1252.46517842354,1265.56051499106,1300,1297.93427559844,1257.05623968494,1297.93427559844,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Mark Kreze","Mark Kreze",2486,"Slovenia",999,999,"False","False",NA,1269.54807364578,1259.97651286857,1300,1297.93427559844,1257.05623968494,1297.93427559844,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Noe Kempf","Noe Kempf",2450,"Switzerland",999,999,"False","False",NA,1269.06346194862,1259.21208796192,1300,1297.93427559844,1257.05623968494,1297.93427559844,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Rostyslav Kirashchuk","Rostyslav Kirashchuk",2462,"Ukraine",999,999,"False","False",NA,1167.76234255043,1162.05021450319,1300,1297.93427559844,1271.2412742159,1297.93427559844,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Julian Kleimeier","Julian Kleimeier",2440,"Germany",999,999,"False","False",NA,1244.15469390737,1248.45903807796,1300,1297.93427559844,1277.19867282444,1297.93427559844,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Urban Zajec","Urban Zajec",2063,"Slovenia",999,999,"False","False",NA,1152.09852012058,1159.77688413371,1300,1297.93427559844,1257.05623968494,1297.93427559844,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"David Thuer","David Thuer",2432,"Austria",999,999,"True","False",NA,1332.17279434148,1347.87101784415,1300,1296.41279569174,1306.54462506502,1296.41279569174,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Kasper Moen Flatla","Kasper Moen Flatla",1230,"Norway",999,999,"False","False",NA,1292.8767061141,1280.45461410693,1300,1296.38729697355,1332.5960000317,1296.38729697355,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.4,"M"
"Felix Brieden","Felix Brieden",2441,"Germany",999,999,"False","False",NA,1279.4009486674,1264.44871236547,1300,1295.94061597582,1306.95997267567,1295.94061597582,0,"Seefeld","Austria","Mass Start","01/30/2026",0,1,"M"
"Oleksandr Shovkoplias","Oleksandr Shovkoplias",2394,"Ukraine",999,999,"False","False",NA,1283.86991670921,1268.63423985599,1300,1295.94061597582,1263.23559746295,1295.94061597582,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.1,"M"
"Lilian Treand","Lilian Treand",2054,"France",999,999,"False","False",NA,1126.57194183722,1102.59799925034,1300,1295.41710667634,1272.43075178347,1295.41710667634,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Christian Frank","Christian Frank",1776,"Germany",999,999,"False","False",NA,1260.22041472136,1256.23997974736,1300,1295.34368668888,1276.45116765316,1295.34368668888,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.125,"M"
"Johannes Steiner","Johannes Steiner",2338,"Austria",999,999,"True","False",NA,1217.78166884787,1215.02299405089,1300,1294.42141804831,1288.98780002161,1294.42141804831,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Torje Seljeset","Torje Seljeset",2399,"Norway",999,999,"False","False",NA,1294.23631800651,1292.17663566252,1300,1292.56960216802,1330.9914189402,1292.56960216802,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.0344827586206897,"M"
"Eros Consolati","Eros Consolati",2068,"Italy",999,999,"False","False",NA,1115.35565843638,1104.60672792482,1300,1291.94061597582,1263.05776730722,1291.94061597582,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
