Date,City,Country,Event,HillSize,Distance,RaceType,MassStart,TeamEvent,Season,Race,Sex,Place,Skier,Nation,ID,Birthday,Leg,TeamID,SJ_Pos,CC_Pos,Age,Exp
2025-12-06,Trondheim,Norway,World Cup,102,5,Mass Start,1,0,2026,2,L,30,Claudia Purker,Austria,177,1999-01-15T00:00:00.000000,0,"",32,22,26.8911704312115,2
2025-12-19,Ramsau,Austria,World Cup,98,5,Mass Start,1,0,2026,3,L,14,Claudia Purker,Austria,177,1999-01-15T00:00:00.000000,0,"",10,22,26.926762491444215,3
2026-01-09,Otepää,Estonia,World Cup,97,5,Mass Start,1,0,2026,5,L,13,Claudia Purker,Austria,177,1999-01-15T00:00:00.000000,0,"",5,26,26.98425735797399,4
2026-01-10,Otepää,Estonia,World Cup,97,5,Individual,0,0,2026,6,L,12,Claudia Purker,Austria,177,1999-01-15T00:00:00.000000,0,"",8,17,26.986995208761122,5
2026-01-11,Otepää,Estonia,World Cup,97,5,Individual Compact,0,0,2026,7,L,12,Claudia Purker,Austria,177,1999-01-15T00:00:00.000000,0,"",6,23,26.989733059548254,6
2026-01-17,Oberhof,Germany,World Cup,100,5,Individual,0,0,2026,8,L,18,Claudia Purker,Austria,177,1999-01-15T00:00:00.000000,0,"",14,20,27.006160164271048,7
2026-01-18,Oberhof,Germany,World Cup,100,5,Individual,0,0,2026,9,L,9,Claudia Purker,Austria,177,1999-01-15T00:00:00.000000,0,"",8,15,27.00889801505818,8
2026-01-30,Seefeld,Austria,World Cup,109,5,Mass Start,1,0,2026,10,L,16,Claudia Purker,Austria,177,1999-01-15T00:00:00.000000,0,"",14,19,27.041752224503764,9
2026-01-31,Seefeld,Austria,World Cup,109,5,Individual Compact,0,0,2026,11,L,18,Claudia Purker,Austria,177,1999-01-15T00:00:00.000000,0,"",13,20,27.044490075290895,10
2026-02-01,Seefeld,Austria,World Cup,109,7.5,Individual,0,0,2026,12,L,16,Claudia Purker,Austria,177,1999-01-15T00:00:00.000000,0,"",14,21,27.04722792607803,11
2022-12-02,Lillehammer,Norway,World Cup,100,5,Individual,0,0,2023,1,L,20,Alva Thors,Finland,178,2005-06-14T00:00:00.000000,0,"",18,25,17.467488021902806,1
2022-12-03,Lillehammer,Norway,World Cup,100,5,Individual,0,0,2023,2,L,22,Alva Thors,Finland,178,2005-06-14T00:00:00.000000,0,"",21,23,17.470225872689937,2
2023-02-24,Planica,Slovenia,World Championship,100,5,Individual,0,0,2023,10,L,27,Alva Thors,Finland,178,2005-06-14T00:00:00.000000,0,"",21,29,17.697467488021903,3
2023-03-11,Holmenkollen,Norway,World Cup,106,5,Individual,0,0,2023,11,L,25,Alva Thors,Finland,178,2005-06-14T00:00:00.000000,0,"",25,25,17.738535249828885,4
2022-03-12,Schonach,Germany,World Cup,106,5,Individual,0,0,2022,7,L,18,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",17,19,19.24435318275154,1
2022-03-13,Schonach,Germany,World Cup,106,5,Individual,0,0,2022,8,L,21,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",19,21,19.247091033538673,2
2022-12-02,Lillehammer,Norway,World Cup,100,5,Individual,0,0,2023,1,L,23,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",22,20,19.969883641341546,3
2022-12-03,Lillehammer,Norway,World Cup,100,5,Individual,0,0,2023,2,L,23,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",23,24,19.972621492128678,4
2022-12-16,Ramsau,Austria,World Cup,97,5,Individual,0,0,2023,3,L,18,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",20,14,20.008213552361397,5
2022-12-17,Ramsau,Austria,World Cup,97,5,Individual,0,0,2023,4,L,23,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",22,22,20.01095140314853,6
2023-01-08,Otepää,Estonia,World Cup,97,5,Individual,0,0,2023,5,L,23,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",24,22,20.071184120465436,7
2023-01-27,Seefeld,Austria,World Cup,109,5,Individual,0,0,2023,6,L,18,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",17,17,20.123203285420946,8
2023-01-28,Seefeld,Austria,World Cup,109,5,Individual,0,0,2023,7,L,22,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",18,21,20.125941136208077,9
2023-02-11,Schonach,Germany,World Cup,100,5,Individual,0,0,2023,8,L,22,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",24,15,20.164271047227924,10
2023-02-12,Schonach,Germany,World Cup,100,5,Individual,0,0,2023,9,L,24,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",24,15,20.16700889801506,11
2023-02-24,Planica,Slovenia,World Championship,100,5,Individual,0,0,2023,10,L,24,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",30,13,20.199863107460644,12
2024-01-13,Oberstdorf,Germany,World Cup,106,5,Individual,0,0,2024,5,L,26,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",28,19,21.084188911704313,13
2024-03-09,Holmenkollen,Norway,World Cup,106,5,Individual,0,0,2024,14,L,17,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",22,12,21.23750855578371,14
2024-03-17,Trondheim,Norway,World Cup,100,7.5,Individual,0,0,2024,15,L,25,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",29,19,21.259411362080765,15
2024-12-06,Lillehammer,Norway,World Cup,98,5,Individual,0,0,2025,1,L,29,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",31,19,21.982203969883642,16
2024-12-07,Lillehammer,Norway,World Cup,98,5,Individual Compact,0,0,2025,2,L,25,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",32,20,21.984941820670773,17
2024-12-20,Ramsau,Austria,World Cup,96,5,Mass Start,1,0,2025,3,L,20,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",22,18,22.02053388090349,18
2024-12-21,Ramsau,Austria,World Cup,96,5,Individual Compact,0,0,2025,4,L,21,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",26,16,22.023271731690624,19
2025-01-18,Schonach,Germany,World Cup,100,5,Individual,0,0,2025,5,L,25,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",25,17,22.099931553730322,20
2025-01-19,Schonach,Germany,World Cup,100,5,Individual Compact,0,0,2025,6,L,14,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",29,11,22.102669404517453,21
2025-02-07,Otepää,Estonia,World Cup,97,5,Mass Start,1,0,2025,10,L,19,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",19,21,22.154688569472963,22
2025-02-08,Otepää,Estonia,World Cup,97,5,Individual,0,0,2025,11,L,18,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",18,18,22.157426420260094,23
2025-03-02,Trondheim,Norway,World Championship,102,5,Individual,0,0,2025,14,L,23,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",27,20,22.217659137577,24
2025-03-15,Holmenkollen,Norway,World Cup,134,5,Individual,0,0,2025,15,L,24,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",25,10,22.253251197809718,25
2025-03-16,Holmenkollen,Norway,World Cup,134,5,Individual Compact,0,0,2025,16,L,19,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",25,15,22.255989048596852,26
2025-12-05,Trondheim,Norway,World Cup,102,5,Individual Compact,0,0,2026,1,L,21,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",21,17,22.978781656399725,1
2025-12-06,Trondheim,Norway,World Cup,102,5,Mass Start,1,0,2026,2,L,19,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",24,4,22.981519507186857,2
2025-12-19,Ramsau,Austria,World Cup,98,5,Mass Start,1,0,2026,3,L,21,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",27,9,23.017111567419576,3
2025-12-20,Ramsau,Austria,World Cup,98,5,Individual,0,0,2026,4,L,20,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",26,9,23.019849418206707,4
2026-01-09,Otepää,Estonia,World Cup,97,5,Mass Start,1,0,2026,5,L,19,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",25,11,23.07460643394935,5
2026-01-10,Otepää,Estonia,World Cup,97,5,Individual,0,0,2026,6,L,17,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",28,8,23.07734428473648,6
2026-01-11,Otepää,Estonia,World Cup,97,5,Individual Compact,0,0,2026,7,L,20,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",32,7,23.080082135523615,7
2026-01-17,Oberhof,Germany,World Cup,100,5,Individual,0,0,2026,8,L,16,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",28,10,23.096509240246405,8
2026-01-18,Oberhof,Germany,World Cup,100,5,Individual,0,0,2026,9,L,18,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",25,10,23.09924709103354,9
2026-01-30,Seefeld,Austria,World Cup,109,5,Mass Start,1,0,2026,10,L,23,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",27,13,23.132101300479125,10
2026-01-31,Seefeld,Austria,World Cup,109,5,Individual Compact,0,0,2026,11,L,20,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",26,17,23.134839151266256,11
2026-02-01,Seefeld,Austria,World Cup,109,7.5,Individual,0,0,2026,12,L,18,Mille Marie Hagen,Norway,180,2002-12-13T00:00:00.000000,0,"",24,11,23.137577002053387,12
2022-03-12,Schonach,Germany,World Cup,106,5,Individual,0,0,2022,7,L,8,Hazuki Ikeda,Japan,194,2005-08-20T00:00:00.000000,0,"",14,8,16.55852156057495,1
2022-03-13,Schonach,Germany,World Cup,106,5,Individual,0,0,2022,8,L,11,Hazuki Ikeda,Japan,194,2005-08-20T00:00:00.000000,0,"",12,10,16.56125941136208,2
2022-12-02,Lillehammer,Norway,World Cup,100,5,Individual,0,0,2023,1,L,22,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",24,16,15.540041067761807,1
2022-12-03,Lillehammer,Norway,World Cup,100,5,Individual,0,0,2023,2,L,16,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",16,13,15.542778918548938,2
2022-12-16,Ramsau,Austria,World Cup,97,5,Individual,0,0,2023,3,L,17,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",19,13,15.578370978781656,3
2022-12-17,Ramsau,Austria,World Cup,97,5,Individual,0,0,2023,4,L,18,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",20,14,15.581108829568787,4
2023-01-08,Otepää,Estonia,World Cup,97,5,Individual,0,0,2023,5,L,16,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",17,11,15.641341546885695,5
2023-02-24,Planica,Slovenia,World Championship,100,5,Individual,0,0,2023,10,L,23,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",26,21,15.770020533880903,6
2023-03-11,Holmenkollen,Norway,World Cup,106,5,Individual,0,0,2023,11,L,17,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",19,17,15.811088295687885,7
2023-12-01,Lillehammer,Norway,World Cup,98,5,Individual,0,0,2024,1,L,6,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",7,6,16.536618754277892,8
2023-12-02,Lillehammer,Norway,World Cup,98,5,Individual,0,0,2024,2,L,5,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",4,5,16.539356605065024,9
2023-12-15,Ramsau,Austria,World Cup,98,5,Individual,0,0,2024,3,L,3,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",3,12,16.57494866529774,10
2023-12-16,Ramsau,Austria,World Cup,N/A,N/A,Individual Compact,0,0,2024,4,L,5,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",6,6,16.577686516084874,11
2024-01-13,Oberstdorf,Germany,World Cup,106,5,Individual,0,0,2024,5,L,7,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",8,9,16.654346338124572,12
2024-01-14,Oberstdorf,Germany,World Cup,N/A,N/A,Individual Compact,0,0,2024,6,L,9,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",7,10,16.657084188911703,13
2024-03-09,Holmenkollen,Norway,World Cup,106,5,Individual,0,0,2024,14,L,8,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",9,9,16.807665982203968,14
2024-03-17,Trondheim,Norway,World Cup,100,7.5,Individual,0,0,2024,15,L,10,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",11,7,16.829568788501028,15
2024-12-06,Lillehammer,Norway,World Cup,98,5,Individual,0,0,2025,1,L,9,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",15,6,17.5523613963039,16
2024-12-07,Lillehammer,Norway,World Cup,98,5,Individual Compact,0,0,2025,2,L,10,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",18,11,17.555099247091032,17
2024-12-20,Ramsau,Austria,World Cup,96,5,Mass Start,1,0,2025,3,L,3,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",8,5,17.590691307323752,18
2024-12-21,Ramsau,Austria,World Cup,96,5,Individual Compact,0,0,2025,4,L,8,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",8,11,17.593429158110883,19
2025-01-18,Schonach,Germany,World Cup,100,5,Individual,0,0,2025,5,L,7,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",15,5,17.67008898015058,20
2025-01-19,Schonach,Germany,World Cup,100,5,Individual Compact,0,0,2025,6,L,10,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",16,9,17.672826830937712,21
2025-01-31,Seefeld,Austria,World Cup,109,5,Mass Start,1,0,2025,7,L,28,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",29,13,17.7056810403833,22
2025-02-01,Seefeld,Austria,World Cup,109,5,Individual Compact,0,0,2025,8,L,9,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",20,4,17.70841889117043,23
2025-02-02,Seefeld,Austria,World Cup,109,5,Individual,0,0,2025,9,L,8,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",15,4,17.711156741957563,24
2025-02-07,Otepää,Estonia,World Cup,97,5,Mass Start,1,0,2025,10,L,8,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",12,4,17.724845995893222,25
2025-02-08,Otepää,Estonia,World Cup,97,5,Individual,0,0,2025,11,L,6,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",9,8,17.727583846680357,26
2025-02-27,Trondheim,Norway,World Championship,102,5,Mass Start,1,0,2025,13,L,12,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",20,6,17.779603011635867,27
2025-03-02,Trondheim,Norway,World Championship,102,5,Individual,0,0,2025,14,L,19,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",24,9,17.78781656399726,28
2025-03-15,Holmenkollen,Norway,World Cup,134,5,Individual,0,0,2025,15,L,5,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",8,8,17.82340862422998,29
2025-03-16,Holmenkollen,Norway,World Cup,134,5,Individual Compact,0,0,2025,16,L,8,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",15,5,17.82614647501711,30
2025-12-05,Trondheim,Norway,World Cup,102,5,Individual Compact,0,0,2026,1,L,5,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",7,12,18.548939082819984,1
2025-12-06,Trondheim,Norway,World Cup,102,5,Mass Start,1,0,2026,2,L,5,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",5,16,18.55167693360712,2
2025-12-19,Ramsau,Austria,World Cup,98,5,Mass Start,1,0,2026,3,L,3,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",5,5,18.587268993839835,3
2025-12-20,Ramsau,Austria,World Cup,98,5,Individual,0,0,2026,4,L,8,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",7,15,18.590006844626966,4
2026-01-09,Otepää,Estonia,World Cup,97,5,Mass Start,1,0,2026,5,L,2,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",2,7,18.64476386036961,5
2026-01-10,Otepää,Estonia,World Cup,97,5,Individual,0,0,2026,6,L,3,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",3,9,18.647501711156742,6
2026-01-11,Otepää,Estonia,World Cup,97,5,Individual Compact,0,0,2026,7,L,2,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",2,9,18.650239561943874,7
2026-01-17,Oberhof,Germany,World Cup,100,5,Individual,0,0,2026,8,L,3,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",3,7,18.666666666666668,8
2026-01-18,Oberhof,Germany,World Cup,100,5,Individual,0,0,2026,9,L,2,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",1,5,18.6694045174538,9
2026-01-30,Seefeld,Austria,World Cup,109,5,Mass Start,1,0,2026,10,L,13,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",18,8,18.702258726899384,10
2026-01-31,Seefeld,Austria,World Cup,109,5,Individual Compact,0,0,2026,11,L,8,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",14,9,18.704996577686515,11
2026-02-01,Seefeld,Austria,World Cup,109,7.5,Individual,0,0,2026,12,L,8,Minja Korhonen,Finland,200,2007-05-19T00:00:00.000000,0,"",10,9,18.707734428473646,12
2023-03-11,Holmenkollen,Norway,World Cup,106,5,Individual,0,0,2023,11,L,13,Ingrid Låte,Norway,201,2007-07-23T00:00:00.000000,0,"",12,22,15.633127994524298,1
2023-12-01,Lillehammer,Norway,World Cup,98,5,Individual,0,0,2024,1,L,20,Ingrid Låte,Norway,201,2007-07-23T00:00:00.000000,0,"",13,25,16.358658453114305,2
2023-12-02,Lillehammer,Norway,World Cup,98,5,Individual,0,0,2024,2,L,24,Ingrid Låte,Norway,201,2007-07-23T00:00:00.000000,0,"",16,24,16.361396303901437,3
2025-01-31,Seefeld,Austria,World Cup,109,5,Mass Start,1,0,2025,7,L,9,Ingrid Låte,Norway,201,2007-07-23T00:00:00.000000,0,"",1,20,17.527720739219713,4
2025-02-27,Trondheim,Norway,World Championship,102,5,Mass Start,1,0,2025,13,L,9,Ingrid Låte,Norway,201,2007-07-23T00:00:00.000000,0,"",1,32,17.60164271047228,5
2025-03-02,Trondheim,Norway,World Championship,102,5,Individual,0,0,2025,14,L,4,Ingrid Låte,Norway,201,2007-07-23T00:00:00.000000,0,"",1,33,17.609856262833674,6
2025-03-15,Holmenkollen,Norway,World Cup,134,5,Individual,0,0,2025,15,L,4,Ingrid Låte,Norway,201,2007-07-23T00:00:00.000000,0,"",1,26,17.645448323066393,7
2025-12-05,Trondheim,Norway,World Cup,102,5,Individual Compact,0,0,2026,1,L,8,Ingrid Låte,Norway,201,2007-07-23T00:00:00.000000,0,"",1,32,18.3709787816564,1
2025-12-06,Trondheim,Norway,World Cup,102,5,Mass Start,1,0,2026,2,L,8,Ingrid Låte,Norway,201,2007-07-23T00:00:00.000000,0,"",2,32,18.373716632443532,2
2025-12-19,Ramsau,Austria,World Cup,98,5,Mass Start,1,0,2026,3,L,16,Ingrid Låte,Norway,201,2007-07-23T00:00:00.000000,0,"",1,29,18.409308692676248,3
2025-12-20,Ramsau,Austria,World Cup,98,5,Individual,0,0,2026,4,L,7,Ingrid Låte,Norway,201,2007-07-23T00:00:00.000000,0,"",1,27,18.41204654346338,4
2026-01-09,Otepää,Estonia,World Cup,97,5,Mass Start,1,0,2026,5,L,5,Ingrid Låte,Norway,201,2007-07-23T00:00:00.000000,0,"",1,31,18.466803559206024,5
2026-01-10,Otepää,Estonia,World Cup,97,5,Individual,0,0,2026,6,L,5,Ingrid Låte,Norway,201,2007-07-23T00:00:00.000000,0,"",1,24,18.469541409993155,6
2026-01-11,Otepää,Estonia,World Cup,97,5,Individual Compact,0,0,2026,7,L,13,Ingrid Låte,Norway,201,2007-07-23T00:00:00.000000,0,"",1,27,18.472279260780287,7
2026-01-17,Oberhof,Germany,World Cup,100,5,Individual,0,0,2026,8,L,24,Ingrid Låte,Norway,201,2007-07-23T00:00:00.000000,0,"",2,26,18.48870636550308,8
2026-01-30,Seefeld,Austria,World Cup,109,5,Mass Start,1,0,2026,10,L,8,Ingrid Låte,Norway,201,2007-07-23T00:00:00.000000,0,"",1,27,18.524298425735797,9
2023-03-11,Holmenkollen,Norway,World Cup,106,5,Individual,0,0,2023,11,L,21,Kjersti Græsli,Norway,202,2007-12-01T00:00:00.000000,0,"",11,26,15.274469541409992,1
2024-03-17,Trondheim,Norway,World Cup,100,7.5,Individual,0,0,2024,15,L,28,Romane Baud,France,206,2006-09-23T00:00:00.000000,0,"",19,31,17.481177275838466,1
2025-01-31,Seefeld,Austria,World Cup,109,5,Mass Start,1,0,2025,7,L,23,Romane Baud,France,206,2006-09-23T00:00:00.000000,0,"",19,28,18.357289527720738,2
2025-02-01,Seefeld,Austria,World Cup,109,5,Individual Compact,0,0,2025,8,L,25,Romane Baud,France,206,2006-09-23T00:00:00.000000,0,"",21,25,18.360027378507873,3
2025-12-05,Trondheim,Norway,World Cup,102,5,Individual Compact,0,0,2026,1,L,31,Romane Baud,France,206,2006-09-23T00:00:00.000000,0,"",28,27,19.200547570157426,1
2025-12-06,Trondheim,Norway,World Cup,102,5,Mass Start,1,0,2026,2,L,27,Romane Baud,France,206,2006-09-23T00:00:00.000000,0,"",21,30,19.203285420944557,2
2025-12-19,Ramsau,Austria,World Cup,98,5,Mass Start,1,0,2026,3,L,26,Romane Baud,France,206,2006-09-23T00:00:00.000000,0,"",22,28,19.238877481177276,3
2025-12-20,Ramsau,Austria,World Cup,98,5,Individual,0,0,2026,4,L,23,Romane Baud,France,206,2006-09-23T00:00:00.000000,0,"",21,25,19.241615331964407,4
2026-01-17,Oberhof,Germany,World Cup,100,5,Individual,0,0,2026,8,L,26,Romane Baud,France,206,2006-09-23T00:00:00.000000,0,"",18,24,19.318275154004105,5
2026-01-18,Oberhof,Germany,World Cup,100,5,Individual,0,0,2026,9,L,22,Romane Baud,France,206,2006-09-23T00:00:00.000000,0,"",18,25,19.32101300479124,6
2026-01-30,Seefeld,Austria,World Cup,109,5,Mass Start,1,0,2026,10,L,21,Romane Baud,France,206,2006-09-23T00:00:00.000000,0,"",17,25,19.353867214236825,7
2026-01-31,Seefeld,Austria,World Cup,109,5,Individual Compact,0,0,2026,11,L,23,Romane Baud,France,206,2006-09-23T00:00:00.000000,0,"",20,25,19.356605065023956,8
2026-02-01,Seefeld,Austria,World Cup,109,7.5,Individual,0,0,2026,12,L,20,Romane Baud,France,206,2006-09-23T00:00:00.000000,0,"",17,23,19.359342915811087,9
2024-12-06,Lillehammer,Norway,World Cup,98,5,Individual,0,0,2025,1,L,32,Anna Senoner,Italy,208,2007-11-14T00:00:00.000000,0,"",30,32,17.062286105407257,1
2024-12-07,Lillehammer,Norway,World Cup,98,5,Individual Compact,0,0,2025,2,L,32,Anna Senoner,Italy,208,2007-11-14T00:00:00.000000,0,"",27,32,17.065023956194388,2
2025-02-27,Trondheim,Norway,World Championship,102,5,Mass Start,1,0,2025,13,L,32,Anna Senoner,Italy,208,2007-11-14T00:00:00.000000,0,"",31,31,17.28952772073922,3
2025-03-02,Trondheim,Norway,World Championship,102,5,Individual,0,0,2025,14,L,33,Anna Senoner,Italy,208,2007-11-14T00:00:00.000000,0,"",31,35,17.297741273100616,4
2023-02-24,Planica,Slovenia,World Championship,100,5,Individual,0,0,2023,10,L,29,Teja Pavec,Slovenia,209,2007-04-15T00:00:00.000000,0,"",18,31,15.863107460643395,1
2023-12-01,Lillehammer,Norway,World Cup,98,5,Individual,0,0,2024,1,L,18,Teja Pavec,Slovenia,209,2007-04-15T00:00:00.000000,0,"",12,24,16.629705681040384,2
2023-12-02,Lillehammer,Norway,World Cup,98,5,Individual,0,0,2024,2,L,16,Teja Pavec,Slovenia,209,2007-04-15T00:00:00.000000,0,"",10,22,16.632443531827516,3
2024-01-13,Oberstdorf,Germany,World Cup,106,5,Individual,0,0,2024,5,L,18,Teja Pavec,Slovenia,209,2007-04-15T00:00:00.000000,0,"",10,25,16.747433264887064,4
2024-01-14,Oberstdorf,Germany,World Cup,N/A,N/A,Individual Compact,0,0,2024,6,L,25,Teja Pavec,Slovenia,209,2007-04-15T00:00:00.000000,0,"",13,25,16.750171115674195,5
2024-03-17,Trondheim,Norway,World Cup,100,7.5,Individual,0,0,2024,15,L,31,Teja Pavec,Slovenia,209,2007-04-15T00:00:00.000000,0,"",23,32,16.922655715263517,6
2024-12-06,Lillehammer,Norway,World Cup,98,5,Individual,0,0,2025,1,L,25,Teja Pavec,Slovenia,209,2007-04-15T00:00:00.000000,0,"",26,21,17.645448323066393,7
2024-12-07,Lillehammer,Norway,World Cup,98,5,Individual Compact,0,0,2025,2,L,28,Teja Pavec,Slovenia,209,2007-04-15T00:00:00.000000,0,"",23,24,17.648186173853524,8
2025-01-18,Schonach,Germany,World Cup,100,5,Individual,0,0,2025,5,L,16,Teja Pavec,Slovenia,209,2007-04-15T00:00:00.000000,0,"",18,18,17.763175906913073,9
2025-01-19,Schonach,Germany,World Cup,100,5,Individual Compact,0,0,2025,6,L,18,Teja Pavec,Slovenia,209,2007-04-15T00:00:00.000000,0,"",13,19,17.765913757700204,10
2025-01-31,Seefeld,Austria,World Cup,109,5,Mass Start,1,0,2025,7,L,17,Teja Pavec,Slovenia,209,2007-04-15T00:00:00.000000,0,"",11,23,17.79876796714579,11
2025-02-01,Seefeld,Austria,World Cup,109,5,Individual Compact,0,0,2025,8,L,16,Teja Pavec,Slovenia,209,2007-04-15T00:00:00.000000,0,"",16,16,17.801505817932924,12
2025-02-27,Trondheim,Norway,World Championship,102,5,Mass Start,1,0,2025,13,L,18,Teja Pavec,Slovenia,209,2007-04-15T00:00:00.000000,0,"",11,27,17.872689938398356,13
2025-03-02,Trondheim,Norway,World Championship,102,5,Individual,0,0,2025,14,L,12,Teja Pavec,Slovenia,209,2007-04-15T00:00:00.000000,0,"",4,25,17.880903490759753,14
2025-12-05,Trondheim,Norway,World Cup,102,5,Individual Compact,0,0,2026,1,L,20,Teja Pavec,Slovenia,209,2007-04-15T00:00:00.000000,0,"",16,24,18.642026009582477,1
2025-12-06,Trondheim,Norway,World Cup,102,5,Mass Start,1,0,2026,2,L,21,Teja Pavec,Slovenia,209,2007-04-15T00:00:00.000000,0,"",14,29,18.64476386036961,2
2025-12-19,Ramsau,Austria,World Cup,98,5,Mass Start,1,0,2026,3,L,18,Teja Pavec,Slovenia,209,2007-04-15T00:00:00.000000,0,"",14,23,18.680355920602327,3
2025-12-20,Ramsau,Austria,World Cup,98,5,Individual,0,0,2026,4,L,14,Teja Pavec,Slovenia,209,2007-04-15T00:00:00.000000,0,"",12,16,18.68309377138946,4
2026-01-09,Otepää,Estonia,World Cup,97,5,Mass Start,1,0,2026,5,L,14,Teja Pavec,Slovenia,209,2007-04-15T00:00:00.000000,0,"",10,24,18.7378507871321,5
