"FISName","Skier","ID","Nation","StartOrder","Bib","Is_Host_Nation","In_Startlist","Year","Length1","Length2","Points","Hill_Size","Elo","Small_Elo","Medium_Elo","Normal_Elo","Large_Elo","Flying_Elo","Race_Elo","Race1_Prob","City","Country","Race_Type","Race_Date","Sex"
"BELSHAW Erik","Erik Belshaw",2497,"USA",NA,NA,"False","True",NA,NA,NA,NA,137,1125.93302149132,1298.0875,1296.24673698786,1204.73924051343,1151.42710861302,1292.39257731929,1125.93302149132,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"BOYD-CLOWES Mackenzie","Mackenzie Boyd-Clowes",95,"CAN",NA,NA,"False","True",NA,NA,NA,NA,137,1120.45890127987,1298.0875,1296.24673698786,1208.25307147341,1157.57160307703,1212.81043810541,1120.45890127987,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"URLAUB Andrew","Andrew Urlaub",2426,"USA",NA,NA,"False","True",NA,NA,NA,NA,137,1113.43521043524,1298.0875,1296.24673698786,1317.74384208861,1087.26150615666,1282.04397220837,1113.43521043524,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"KALINICHENKO Vitaliy","Vitaliy Kalinichenko",1839,"UKR",NA,NA,"False","True",NA,NA,NA,NA,137,1089.51017835583,1298.0875,1296.24673698786,1068.31758928591,1123.30711413586,1240.4595899359,1089.51017835583,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"UNGLAUBE Max","UNGLAUBE Max",NA,"GER",NA,NA,"False","True",NA,NA,NA,NA,137,NA,NA,NA,NA,NA,NA,0,1,"Oberstdorf","Germany","Large","12/28/2025","M"
"Yukiya Sato","Yukiya Sato",881,"Japan",999,999,"False","False",NA,NA,NA,NA,137,1364.23129335509,1298.0875,1296.24673698786,1315.3849836737,1341.37439773135,1367.05448951979,1364.23129335509,0,"Oberstdorf","Germany","Large","12/28/2025","M"
"Aleksander Zniszczol","Aleksander Zniszczol",277,"Poland",999,999,"False","False",NA,NA,NA,NA,137,1281.29448035912,1298.0875,1296.24673698786,1292.72812224806,1282.90696954574,1351.65288507986,1281.29448035912,0,"Oberstdorf","Germany","Large","12/28/2025","M"
"Yannick Wasser","Yannick Wasser",2514,"Switzerland",999,999,"False","False",NA,NA,NA,NA,137,1264.48465456062,1298.0875,1296.24673698786,1201.37481634043,1252.0479902253,1298.59259952246,1264.48465456062,0,"Oberstdorf","Germany","Large","12/28/2025","M"
"Dawid Kubacki","Dawid Kubacki",69,"Poland",999,999,"False","False",NA,NA,NA,NA,137,1262.85218710994,1298.0875,1296.24673698786,1345.35007829002,1285.95298467786,1274.94998102861,1262.85218710994,0,"Oberstdorf","Germany","Large","12/28/2025","M"
"Ziga Jancar","Ziga Jancar",2732,"Slovenia",999,999,"False","False",NA,NA,NA,NA,137,1258.73727754019,1298.0875,1296.24673698786,1255.70365933667,1262.49768041686,1259.08773099495,1258.73727754019,0,"Oberstdorf","Germany","Large","12/28/2025","M"
