FIS_Name,Skier,ID,Nation,In_FIS_List,Price,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Race_Elo,Race_Type,Race1_Prob,Recent_Competitor,City,Country,Distance,Technique,Race_Date
Ebba Andersson,Ebba Andersson,1789,Sweden,False,10401,1738.597261098217,1810.2700524890704,1654.91560072523,1659.5332154037542,1308.8962558458709,1316.8842628417751,1274.9808358252708,1623.2889106519438,1624.7176744824287,1659.5332154037542,Sprintkm F,0.0,False,Lahti,Finland,Sprint,F,03/07/2026
Heidi Weng,Heidi Weng,60,Norway,False,10604,1754.851872277453,1812.3687059350395,1651.3954002561063,1658.785439105159,1376.4785746180169,1410.7538638934248,1328.792035683044,1641.410349455155,1620.71455053691,1658.785439105159,Sprintkm F,0.0,False,Lahti,Finland,Sprint,F,03/07/2026
Astrid Øyre Slind,Astrid Øyre Slind,115,Norway,False,6787,1750.1840459260593,1775.9614549349114,1606.8803286067832,1620.7515074938688,1361.9494295528957,1326.3660044387236,1371.8725840506283,1610.6321190628294,1643.2301777887028,1620.7515074938688,Sprintkm F,0.0,False,Lahti,Finland,Sprint,F,03/07/2026
Frida Karlsson,Frida Karlsson,3998,Sweden,False,8814,1706.6988381242886,1744.9061982807575,1641.7580818651338,1579.0530768597926,1482.167934210139,1456.3893138525236,1450.0996679401835,1633.3038640405011,1575.7325957977569,1579.0530768597926,Sprintkm F,0.0,False,Lahti,Finland,Sprint,F,03/07/2026
Kristin Austgulen Fosnæs,Kristin Austgulen Fosnæs,4268,Norway,False,2134,1653.0878129553578,1654.871729074491,1487.9210241895114,1547.6011359737006,1380.1724423312548,1308.1932852249329,1407.271705241388,1485.6771065753037,1589.2576301709962,1547.6011359737006,Sprintkm F,0.0,False,Lahti,Finland,Sprint,F,03/07/2026
Karoline Simpson-Larsen,Karoline Simpson-Larsen,2300,Norway,False,4533,1591.7855567763231,1639.277542719685,1442.674714027668,1542.946010666623,1236.7068179402474,1275.934417084922,1217.3517676663537,1401.9026079112873,1532.2985769967026,1542.946010666623,Sprintkm F,0.0,False,Lahti,Finland,Sprint,F,03/07/2026
Emma Ribom,Emma Ribom,1844,Sweden,False,5378,1663.394469213115,1625.0244238328205,1492.6592799927928,1537.5471698202134,1610.2303263650283,1550.472584212716,1566.0688986034531,1572.6604343341628,1610.4097140086774,1537.5471698202134,Sprintkm F,0.0,False,Lahti,Finland,Sprint,F,03/07/2026
Kerttu Niskanen,Kerttu Niskanen,37,Finland,False,6581,1626.5932514262972,1671.6579042762437,1654.0446090987514,1531.1562645773408,1417.7252942087623,1404.8631078460903,1404.2633382997897,1604.2510377380322,1516.4039649731992,1531.1562645773408,Sprintkm F,0.0,False,Lahti,Finland,Sprint,F,03/07/2026
Tatiana Sorina,Tatiana Sorina,1860,Russia,False,250,1643.534410537418,1645.0550228536792,1504.9512256458042,1523.0576767573373,1478.624365731811,1428.9212541573254,1443.1450511439623,1549.2937050341147,1558.9430115461575,1523.0576767573373,Sprintkm F,0.0,False,Lahti,Finland,Sprint,F,03/07/2026
Anne Kjersti Kalvå,Anne Kjersti Kalvå,1498,Norway,False,274,1548.7105284986958,1545.708257579569,1452.6732993770993,1520.1184766817105,1451.6411487172782,1365.5556478852177,1465.8775032337942,1456.300303188122,1545.8241684595212,1520.1184766817105,Sprintkm F,0.0,False,Lahti,Finland,Sprint,F,03/07/2026
Nora Sanness,Nora Sanness,6324,Norway,False,998,1507.572239656552,1570.1673477277748,1423.4427624370887,1507.1108902365768,1206.323753684606,1250.690045445255,1194.1006076427,1390.7357305285832,1455.8508230650132,1507.1108902365768,Sprintkm F,0.0,False,Lahti,Finland,Sprint,F,03/07/2026
Delphine Claudel,Delphine Claudel,1694,France,False,358,1418.6212829059248,1450.83464422653,1333.7019240373947,1506.28705251856,1270.976871138903,1207.033761135231,1278.7634291351471,1336.9365533978769,1452.6861910983591,1506.28705251856,Sprintkm F,0.0,False,Lahti,Finland,Sprint,F,03/07/2026
Helen Hoffmann,Helen Hoffmann,6691,Germany,False,953,1522.0223988254572,1553.2552118655294,1410.7447080057318,1486.9183542799126,1302.094894073401,1262.4198008920612,1332.129175556578,1378.3038081779937,1484.095767073395,1486.9183542799126,Sprintkm F,0.0,False,Lahti,Finland,Sprint,F,03/07/2026
Yulia Stupak,Yulia Stupak,1666,Russia,False,213,1547.1443012122943,1590.7966025094142,1551.8097866113203,1471.3479723222963,1470.4555698009303,1484.01133861606,1444.1889431424229,1576.7640173819366,1479.62941703536,1471.3479723222963,Sprintkm F,0.0,False,Lahti,Finland,Sprint,F,03/07/2026
Sophia Laukli,Sophia Laukli,7369,USA,False,426,1413.902015920969,1433.2712686688265,1317.9145803614351,1460.914779167372,1171.2201184527823,1218.8817777671893,1172.0608807094004,1310.941880525992,1429.0928317303576,1460.914779167372,Sprintkm F,0.0,False,Lahti,Finland,Sprint,F,03/07/2026
Leonie Perry,Leonie Perry,10413,France,False,228,1458.5940170683955,1473.341183981714,1315.1136618347975,1446.3059322984402,1275.0265481996146,1253.9183978390342,1299.3581303850465,1286.6630689665596,1477.603777367686,1446.3059322984402,Sprintkm F,0.0,False,Lahti,Finland,Sprint,F,03/07/2026
