FIS_Name,Skier,Nation,In_FIS_List,Price,Team_Name,Team_Rank,Team_Time,Team_Position,ID,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Race_Date,City,Country,Race_Type
BOLGER Kevin,Kevin Bolger,USA,True,236,UNITED STATES OF AMERICA,7,,7-3,9159.0,1389.8560051636505,1296.5724907184983,1192.8503118426916,1278.4283191966017,1394.3876713825805,1341.6769858127868,1387.0785449059608,1288.5258423764906,1376.3744594524076,03/06/25,Trondheim,Norway,Relay
OGDEN Ben,Ben Ogden,USA,True,5708,UNITED STATES OF AMERICA,7,,7-4,9179.0,1644.174281717811,1544.8534147838002,1479.9886647019896,1429.316270040826,1684.097547193629,1560.352687347936,1681.992302072191,1557.286141772435,1621.450996758862,03/06/25,Trondheim,Norway,Relay
FAEHNDRICH Cyril,Cyril Fähndrich,SUI,True,261,SWITZERLAND,8,,8-1,9975.0,1381.8303534632626,1378.0129802041786,1409.0248489692017,1320.0485589617963,1331.6643621049964,1269.827805502201,1342.2926341957004,1413.0981429958938,1327.8409882884916,03/06/25,Trondheim,Norway,Relay
BAUMANN Jonas,Jonas Baumann,SUI,True,244,SWITZERLAND,8,,8-2,1534.0,1461.2420741232943,1475.007014277278,1433.8686488738408,1384.26459558564,1224.254672436483,1198.7744564172824,1222.6611128644154,1438.2234335375315,1351.787627885638,03/06/25,Trondheim,Norway,Relay
RUEESCH Jason,Jason Rüesch,SUI,True,222,SWITZERLAND,8,,8-3,2732.0,1474.7529103953516,1459.2979396833011,1366.0158181874058,1397.4637166447735,1335.534243039583,1228.6781238976073,1359.3404744912204,1368.1973941772244,1428.1988979163225,03/06/25,Trondheim,Norway,Relay
GROND Valerio,Valerio Grond,SUI,True,1371,SWITZERLAND,8,,8-4,12164.0,1551.576376308838,1276.0454076469694,1231.6135969963268,1299.2591818937049,1693.8779212454956,1526.454050864292,1715.0910230951488,1403.7604381448944,1586.061828492987,03/06/25,Trondheim,Norway,Relay
TICCO Giovanni,Giovanni Ticco,ITA,True,217,ITALY,9,,9-1,12675.0,1428.612466005212,1360.121294948773,1296.6169961908183,1343.4390151506022,1434.8300160838423,1318.622376632654,1470.6022974075615,1321.429066457447,1438.9307832045931,03/06/25,Trondheim,Norway,Relay
PELLEGRINO Federico,Federico Pellegrino,ITA,True,8745,ITALY,9,,9-2,44.0,1692.2929962346486,1604.4069619271534,1563.4719107851154,1461.2751526084276,1732.5628478969656,1580.2098508702734,1756.7855150855955,1620.5586032114863,1619.5727835360003,03/06/25,Trondheim,Norway,Relay
GRAZ Davide,Davide Graz,ITA,True,233,ITALY,9,,9-3,12165.0,1492.5446287355103,1435.7214362318568,1294.6016146456525,1413.9453693078408,1486.7060387016122,1336.0008499487174,1526.9349030202716,1320.0947062149182,1502.934349016243,03/06/25,Trondheim,Norway,Relay
DAPRA Simone,Simone Dapra,ITA,True,230,ITALY,9,,9-4,6019.0,1420.8509971800863,1419.633279516312,1269.4727442830049,1389.8181312522777,1340.7618052104476,1322.471119068887,1318.1492800678045,1315.3659700888638,1386.166095388314,03/06/25,Trondheim,Norway,Relay
