FIS_Name,Skier,ID,Nation,In_FIS_List,Config_Nation,In_Config,Price,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Base_Quota,Is_Host_Nation,Quota,Race1_Prob,Race2_Prob,Race3_Prob,Race4_Prob,Race5_Prob,Race6_Prob
FINK Pia,Pia Fink,4004.0,Germany,True,False,False,1927,1693.2759294465086,1686.8436567528524,1519.5298874513358,1568.4346059104805,1392.3780331798005,1323.678260604871,1391.0499486396434,1520.4106654031325,1632.1142465973144,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
MATINTALO Johanna,Johanna Matintalo,1761.0,Finland,True,False,False,1847,1639.9555865708385,1578.333816117364,1523.0240600090217,1330.6163239554355,1583.4402791795014,1555.7961859463564,1309.9621819963106,1601.4316302115058,1352.9926817905068,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
KAELIN Nadja,Nadja Kälin,6639.0,Switzerland,True,False,False,1674,1498.9685764892463,1512.3083976944658,1463.822615783634,1409.7574771194766,1398.0039200400086,1367.0793171439952,1271.0564995780394,1431.942438293871,1450.7482046600055,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
JANATOVA Katerina,Katerina Janatova,3198.0,Czechia,True,False,False,1586,1520.2694489519902,1542.8868829212413,1422.95414647426,1465.249697586006,1450.8213266635505,1353.7712942064086,1520.4023167108217,1368.3589612019816,1500.1016169823536,5,False,5,1.0,1.0,1.0,1.0,1.0,1.0
KERN Julia,Julia Kern,1846.0,USA,True,False,False,1571,1465.055794232003,1386.6828526925922,1296.9177512875376,1350.5359479777546,1552.0278817018216,1447.3255940927036,1570.0706668724065,1419.9249131837155,1441.7054852442154,7,False,7,1.0,1.0,1.0,1.0,1.0,1.0
WEBER Anja,Anja Weber,6338.0,Switzerland,True,False,False,1407,1603.46610864386,1539.2701494118085,1430.948921463354,1435.204290292912,1586.9214450449574,1457.0696539050036,1545.0444149822436,1496.2731602478154,1562.8062125495524,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
RYDZEK Coletta,Coletta Rydzek,3254.0,Germany,True,False,False,1353,1589.658896535538,1400.746009958155,1395.3520659021003,1315.912191481207,1661.1299501747992,1546.2880314321387,1607.6533076632072,1561.2797098797785,1540.8361646383782,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
HOFFMANN Helen,Helen Hoffmann,6691.0,Germany,True,False,False,1283,1666.550934496143,1690.1608636070484,1444.377087754128,1550.2148038831026,1260.5895069331496,1245.65418966397,1305.008093211592,1312.5237089476882,1630.458927282168,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
MYHRVOLD Mathilde,Mathilde Myhrvold,2298.0,Norway,True,False,False,1208,1693.5691818678783,1326.4632601889216,1319.4082048791558,1297.5266429039484,1707.2785188848914,1547.8646585737358,1650.7083607293762,1563.0488126427283,1612.5407294650086,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
KAHARA Jasmin,Jasmin Kähärä,3528.0,Finland,True,False,False,678,1476.5590623997869,1475.7977058372803,1301.9107171042458,1411.2228329286038,1477.713377659293,1461.231626951109,1450.2930732640048,1467.3897737647064,1441.657354048837,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
LUNDGREN Moa,Moa Lundgren,3211.0,Sweden,True,False,False,610,1541.0666379310846,1491.5724952340402,1425.8289946256575,1380.3924303721462,1518.9506681194744,1470.9052979805228,1467.6506682519753,1486.845324660346,1476.21039844432,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
GANZ Caterina,Caterina Ganz,1721.0,Italy,True,False,False,602,1505.8407259513522,1496.515390675857,1444.7856720490474,1410.0575788311594,1442.8232441449818,1417.0621793906264,1353.432182344549,1441.129655148465,1457.651784155,6,True,11,1.0,1.0,1.0,1.0,1.0,1.0
SAUERBREY Katherine,Katherine Sauerbrey,1727.0,Germany,True,False,False,590,1400.664881732811,1438.4830663169655,1494.1931719591123,1369.5605953098293,1263.4095493281095,1272.0913085230468,1235.070390539885,1377.3034635466051,1398.10776660589,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
ROSENBERG Maerta,Märta Rosenberg,6689.0,Sweden,True,False,False,331,1466.3050170966158,1436.1422370532948,1472.0884581828416,1273.4713660937596,1448.534718412329,1366.736349318177,1440.3114683307997,1489.4948879326414,1381.775981642301,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
DEL RIO Gina,Gina del Rio,10313.0,Andorra,True,False,False,309,1566.3733219644305,1498.3613460296478,1290.9902814043355,1408.329520229149,1491.6488723449695,1330.1507498401363,1522.8475648160938,1323.2114913606204,1549.7954619517784,3,False,3,1.0,1.0,1.0,1.0,1.0,1.0
KREHL Sofie,Sofie Krehl,1695.0,Germany,True,False,False,295,1447.4230572175452,1451.7057958248142,1325.556127833699,1406.2630647720698,1400.2508359223452,1352.8019071709998,1451.7293305297983,1342.0824137401405,1469.4729643809328,6,False,6,1.0,1.0,1.0,1.0,1.0,1.0
