FIS_Name,Skier,ID,Nation,In_FIS_List,Config_Nation,In_Config,Price,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Base_Quota,Is_Host_Nation,Quota,Race1_Prob,Race2_Prob
Amanda Nyfors,Amanda Nyfors,6953,Finland,False,True,False,0,1148.6821694818343,1151.9327300475716,1198.9305936616074,1270.271685918889,1259.6515255444515,1265.5067962838186,1284.7318059279578,1181.7433928975452,1254.0346407932348,6,False,6,,0.0
Hanna Eckhardt Andersen,Hanna Eckhardt Andersen,6819,Norway,False,True,False,0,1148.4872087801723,1144.720209794445,1206.6922121223397,1213.116694337299,1245.9879986860672,1280.619895221392,1256.6659925669744,1197.7137825072334,1198.695154034668,6,False,6,,0.0
So-Youn Moon,So-Youn Moon,4874,South Korea,False,False,False,0,1148.460806954333,1178.8406781141882,1260.2827934943136,1231.1920423600916,1255.9517827119528,1291.6800388488198,1249.1483864025986,1245.468672076801,1193.2192030235217,2,False,2,0.0,0.0
Zulfiye Soyaslan,Zulfiye Soyaslan,9374,Turkey,False,False,False,0,1147.9152906903664,1202.2947326079675,1273.898797322673,1244.8579700910905,1232.212232611473,1268.8850877946606,1235.7062645610065,1246.5907833186332,1187.073842390183,2,False,2,0.0,0.0
Sayaka Yamaishi,Sayaka Yamaishi,7101,Japan,False,False,False,0,1145.5371972264154,1145.9480214039531,1214.3576012880276,1224.023623001316,1278.635008747597,1295.986263718563,1275.6420298072153,1208.319607050541,1207.80060040414,3,False,3,0.0,0.0
Maja Majbäck,Maja Majbäck,3176,Sweden,False,True,False,0,1144.9822689498492,1151.790690974011,1211.4195308822375,1223.869340564639,1259.2541498159546,1285.5877431948234,1267.8787158297996,1202.0705814871385,1202.413624718302,6,False,6,,0.0
Emma Antonsen,Emma Antonsen,11558,Sweden,False,True,False,0,1144.6741045183112,1178.1697072820634,1238.3812408906083,1239.1878578031517,1250.2635551443375,1274.0827966796105,1271.7790553814932,1212.4670818236934,1211.2041658094536,6,False,6,,0.0
Emma Ivarsson,Emma Ivarsson,1803,Sweden,False,True,False,0,1144.260421688146,1151.227635979546,1208.5315690323296,1207.7127029856383,1209.666072091736,1221.0080126470525,1248.7376535458627,1190.773968206579,1187.9708969140845,6,False,6,,0.0
Nataliya Esipova,Nataliya Esipova,7921,Russia,False,False,False,0,1144.1192265031402,1182.9377133557375,1254.385019133617,1235.3593624518248,1229.513777125326,1266.3517048642989,1243.346710778632,1227.1383170485851,1196.0350450633225,2,False,2,0.0,0.0
Elina Franzen,Elina Franzen,10633,Sweden,False,True,False,0,1143.0910000663082,1172.2895180462042,1248.1977636691113,1224.9062280385006,1239.0435986990622,1267.1092278466754,1262.147492245537,1219.3927394712473,1193.8663465931445,6,False,6,,0.0
Louise Hallander,Louise Hallander,11728,Sweden,False,True,False,0,1143.0761344808282,1204.915380018473,1250.5695801235029,1259.8231455027906,1223.0016249804532,1269.3998698503422,1238.7899929992852,1221.1426176560865,1200.043833652313,6,False,6,,0.0
Agnes Säfström-Niemi,Agnes Säfström-Niemi,10600,Sweden,False,True,False,0,1143.0221030240357,1169.9420018653316,1230.0969137380384,1242.0643457705826,1251.9617349190312,1251.3133957833186,1274.1692803829565,1192.9968815738755,1230.4289857141075,6,False,6,,0.0
Julie Jeistad,Julie Jeistad,10345,Norway,False,True,False,0,1142.9035237962164,1154.2035864380052,1221.5988875663954,1227.8858467946438,1233.130821101811,1251.385416821678,1265.0663470145582,1197.31794284563,1202.3374366558137,6,False,6,,0.0
Moa Larsson,Moa Larsson,1770,Sweden,False,True,False,0,1142.4278003482364,1142.9719091777422,1209.154575298362,1191.2683864977334,1231.6106131682277,1248.305554639432,1249.3179611159126,1193.6147030730513,1173.2005491979653,6,False,6,,0.0
Polina Vaschenko,Polina Vaschenko,9438,Russia,False,False,False,0,1141.8132144311498,1169.6112143843156,1244.2289318807857,1226.0913083080309,1225.1586150993107,1252.9717696539865,1259.157117990005,1214.510516019309,1199.327464856588,2,False,2,0.0,0.0
Tinkara Gros,Tinkara Gros,11402,Slovenia,False,False,False,0,1141.7944571688863,1190.4394555370322,1240.7472168062216,1257.3981255978383,1238.41974786208,1260.0697767518382,1269.5170259084484,1200.3625469853994,1229.6071231778028,4,False,4,0.0,0.0
Laura Karkkulainen,Laura Karkkulainen,1897,Finland,False,True,False,0,1139.494780270311,1145.045557680914,1200.8735560909977,1219.2843908109658,1238.0012449910914,1276.1558238730163,1241.7022357520248,1199.0524066599785,1191.5876429173695,6,False,6,,0.0
Kamila Makhmutova,Kamila Makhmutova,6339,Kazakhstan,False,False,False,0,1139.2748390613203,1141.0557752241746,1217.4110363717407,1187.7511809515847,1275.8720022097957,1261.422470185709,1270.5323970747102,1218.7224941578604,1169.8748622220542,4,False,4,0.0,0.0
Ella Selmosson,Ella Selmosson,10695,Sweden,False,True,False,0,1138.690302425712,1130.0395896360492,1221.195833527046,1202.5391727356407,1292.6557022523336,1276.6166943927535,1290.723503244773,1216.229530012774,1193.5569054619564,6,False,6,,0.0
Sanna Hörnell,Sanna Hörnell,12280,Sweden,False,True,False,0,1138.11715994991,1185.9581133789102,1248.4296440228195,1244.5495785513626,1238.15863318862,1267.058406435708,1261.8527881003872,1217.984752339772,1199.6761405816585,6,False,6,,0.0
Emma Bengtsson,Emma Bengtsson,11152,Sweden,False,True,False,0,1137.53916764236,1175.1764800969524,1251.6217947139294,1223.9519443357185,1236.313798607158,1274.0827966796105,1253.2129722105774,1226.2415342337963,1183.461919154643,6,False,6,,0.0
Marianne Haug,Marianne Haug,8999,Norway,False,True,False,0,1136.7262298709663,1118.8085177173689,1215.8283709961745,1179.395011351603,1227.481205066099,1244.2916619829432,1267.938507841467,1179.8730580264378,1185.658577359863,6,False,6,,0.0
Synne Selberg,Synne Selberg,6782,Norway,False,True,False,0,1136.1139147704623,1147.5229271068429,1233.0291035083303,1215.241092981761,1257.2538331912783,1276.6166943927535,1258.062865643055,1227.671607778926,1185.584503683701,6,False,6,,0.0
