FIS_Name,Skier,Nation,In_FIS_List,Price,Team_Name,Team_Rank,Team_Time,Team_Position,Race_Type,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,ID,Race_Date,City,Country
SUNDLING Jonna,Jonna Sundling,SWE,True,14452,SWEDEN I,3,,3-4,Relay,1785.7706287883034,1657.2370382943047,1549.1858499059304,1519.537933188299,1740.1743008723188,1611.148589562414,1708.538298102642,1645.5513802921953,1718.0868282974495,1486.0,03/07/25,Trondheim,Norway
MATINTALO Johanna,Johanna Matintalo,FIN,True,1352,FINLAND I,4,,4-1,Relay,1530.1336496142717,1501.2645627213767,1511.7184309475622,1332.1534741646228,1469.0137118725338,1489.3083293775817,1307.3941291707074,1541.2735440849272,1354.4838565854752,1761.0,03/07/25,Trondheim,Norway
NISKANEN Kerttu,Kerttu Niskanen,FIN,True,6170,FINLAND I,4,,4-2,Relay,1629.2279643414176,1707.5176902558787,1677.8251496924734,1563.0514235194144,1442.0801522794463,1435.8847086292913,1406.1745458211035,1603.8125011096774,1553.757847173318,37.0,03/07/25,Trondheim,Norway
PARMAKOSKI Krista,Krista Pärmäkoski,FIN,True,3691,FINLAND I,4,,4-3,Relay,1625.9553176119712,1638.6106836569013,1614.562176770219,1507.4923283603248,1457.7128636165598,1454.2922474707664,1435.4420058913242,1592.1559714176778,1526.5670687007575,13.0,03/07/25,Trondheim,Norway
JOENSUU Jasmi,Jasmi Joensuu,FIN,True,3996,FINLAND I,4,,4-4,Relay,1646.986365535849,1484.5514337854331,1491.940251237847,1329.3553254252768,1632.2930767102318,1530.001470704097,1610.0747545671493,1582.206333950681,1567.4002874720998,1675.0,03/07/25,Trondheim,Norway
BRENNAN Rosie,Rosie Brennan,USA,True,4930,UNITED STATES OF AMERICA I,5,,5-1,Relay,1500.6221815119543,1542.8246008231638,1551.5969480389451,1482.476755663302,1484.845820676375,1467.326551263777,1463.6418667900705,1540.4996402252973,1459.7569567404491,627.0,03/07/25,Trondheim,Norway
KERN Julia,Julia Kern,USA,True,1476,UNITED STATES OF AMERICA I,5,,5-2,Relay,1554.8417000921504,1434.4279446949586,1285.3546379452575,1410.7521247246889,1565.6508133887403,1465.4273990583183,1573.287244423942,1390.92563368105,1553.630002232013,1846.0,03/07/25,Trondheim,Norway
LAUKLI Sophia,Sophia Laukli,USA,True,2353,UNITED STATES OF AMERICA I,5,,5-3,Relay,1473.1009377626883,1507.7293821810306,1344.0361009996916,1509.3763492215608,1170.787381675828,1225.0510004400803,1175.061257152856,1320.6844252548494,1480.154567312252,7369.0,03/07/25,Trondheim,Norway
DIGGINS Jessie,Jessie Diggins,USA,True,15036,UNITED STATES OF AMERICA I,5,,5-4,Relay,1733.9997071038529,1786.2413236534503,1626.7243686590198,1700.262679442661,1588.6678598867395,1471.5517027803924,1632.2397781761956,1587.220717761247,1739.839977512078,131.0,03/07/25,Trondheim,Norway
COMARELLA Anna,Anna Comarella,ITA,True,249,ITALY I,6,,6-1,Relay,1324.6894398912727,1346.3340037159528,1336.264426800603,1292.7267415700428,1200.1051789931375,1229.358270570637,1199.2509353282896,1308.7462090321676,1278.5749851269982,1724.0,03/07/25,Trondheim,Norway
