"FISName","Skier","ID","Nation","StartOrder","Bib","Is_Host_Nation","In_Startlist","Year","Run1","Run2","Time","Points","Discipline","Elo","Downhill_Elo","Super.G_Elo","Giant.Slalom_Elo","Slalom_Elo","Combined_Elo","Tech_Elo","Speed_Elo","Race_Elo","Race1_Prob","City","Country","Race_Type","Race_Date","Race2_Prob","Race3_Prob","Race4_Prob","Sex"
"CATER Martin","Martin Cater",1919,"SLO",NA,23,"False","True",1992,NA,NA,NA,NA,"Downhill",1290.95214659771,1307.6542315652,1235.54649696103,1284.9713250455,1275.42874707643,1286.53605208267,1265.2373598233,1296.30437494428,1307.6542315652,1,"Lillehammer","Norway","Men's Downhill","03/21/2026",0.5,0,0,"M"
"Matthieu Bailet","Matthieu Bailet",2742,"France",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1270.80099420867,1239.09529516969,1306.34858499755,1279.4446029495,1277.54675735995,1276.98834924103,1280.61111182389,1261.8927055853,1306.34858499755,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0.525,0,0,"M"
"Thomas Zippert","Thomas Zippert",7092,"Switzerland",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1252.65082764208,1244.80318760616,1305.06385125664,1263.1772845005,1277.54675735995,1289.22828769153,1257.71372690792,1268.18388842414,1305.06385125664,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Kyle Negomir","Kyle Negomir",4714,"USA",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1315.84617755333,1279.37739372047,1303.905070018,1299.10772368064,1296.12410592199,1285.13125751626,1297.53346773408,1316.77227182876,1303.905070018,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0.6,0,0,"M"
"Michael Matt","Michael Matt",2481,"Austria",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1460.53056338731,1302.15496876261,1303.34707268695,1285.18801957561,1461.33704128787,1301.29162853361,1459.39620273108,1305.57615886582,1303.34707268695,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0.842105263157895,"M"
"Tommaso Sala","Tommaso Sala",2588,"Italy",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1403.06903744131,1252.06881002526,1302.42963453335,1229.52093876217,1412.03359588687,1301.29162853361,1403.96341899988,1302.52304864703,1302.42963453335,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0.06,0.754385964912281,"M"
"Dong-Hyun Jung","Dong-Hyun Jung",2364,"South Korea",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1288.11712671374,1252.06881002526,1301.79813691721,1308.84099759987,1262.06083645709,1289.22828769153,1289.15391435113,1301.52534841048,1301.79813691721,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0.02,0.0701754385964912,"M"
"Ziggy Vrdoljak","Ziggy Vrdoljak",7587,"Croatia",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1282.72470216381,1299.11062796846,1301.50456428906,1291.97949983591,1296.81316366664,1300,1285.28991078085,1298.46629276835,1301.50456428906,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Aleix Aubert Serracanta","Aleix Aubert Serracanta",6824,"Spain",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1310.07731864622,1299.11062796846,1301.50456428906,1307.10201175919,1246.90506074966,1302.02926289238,1308.80278878299,1300.74971673473,1301.50456428906,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0.263157894736842,0,"M"
"William Hällqvist","William Hällqvist",8517,"Sweden",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1275.83914684607,1252.06881002526,1301.07581448937,1279.55273358491,1277.54675735995,1289.22828769153,1274.48326341842,1301.00197913783,1301.07581448937,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Ian Menzies","Ian Menzies",8662,"Great Britain",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1298.75236252638,1252.06881002526,1301.07581448937,1273.82863896548,1277.54675735995,1289.22828769153,1267.3201166527,1299.75976460496,1301.07581448937,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Elias Hartford Kvæl","Elias Hartford Kvæl",8213,"Norway",999,999,"True","False",NA,NA,NA,NA,NA,"Super G",1282.60097198383,1252.06881002526,1301.07581448937,1284.63541791114,1282.11243980222,1289.22828769153,1283.5107360836,1301.00197913783,1301.07581448937,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0.2,"M"
"Andrej Barnas","Andrej Barnas",7255,"Slovakia",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1245.43707993249,1252.06881002526,1301.07581448937,1287.98579646074,1261.072296533,1300,1249.84971766923,1301.00197913783,1301.07581448937,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Michael Huber","Michael Huber",8661,"Germany",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1303.1281439498,1252.06881002526,1301.07581448937,1301.9007148348,1277.54675735995,1289.22828769153,1300.78784346224,1301.00197913783,1301.07581448937,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Wiliam St-Germain","Wiliam St-Germain",2483,"Canada",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1253.46892153414,1299.92739012257,1301.06330082502,1253.1297012685,1245.4524498995,1289.22828769153,1254.75137058551,1299.64856588069,1301.06330082502,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0.214285714285714,0,"M"
"Ryoma Katayama","Ryoma Katayama",5578,"Japan",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1271.15037110757,1298.32477839614,1301.04124358348,1270.84313990825,1203.59371901935,1298.02926289238,1271.81185546015,1300.46059290932,1301.04124358348,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0.142857142857143,0,"M"
"Philip Jonsson","Philip Jonsson",7113,"Sweden",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1230.81105342399,1252.06881002526,1300.50610540172,1276.71398001389,1249.6241638375,1289.22828769153,1232.1120814901,1299.23168470195,1300.50610540172,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Linus Söderlind","Linus Söderlind",8416,"Sweden",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1271.60370313897,1252.06881002526,1300.50610540172,1291.93021889108,1294.75896896045,1289.22828769153,1286.27816708057,1299.23168470195,1300.50610540172,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Max Uhlir","Max Uhlir",8133,"Sweden",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1250.48052833423,1252.06881002526,1300.50610540172,1296.56559765249,1251.85508440426,1289.22828769153,1252.56482143957,1299.23168470195,1300.50610540172,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Jonas Skabar","Jonas Skabar",7366,"France",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1143.66414663855,1281.23359444726,1300.50610540172,1205.77767031207,1217.90826806724,1302.02926289238,1150.14904746638,1283.86691317637,1300.50610540172,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Storm Andre Hagen","Storm Andre Hagen",8309,"Norway",999,999,"True","False",NA,NA,NA,NA,NA,"Super G",1275.9713275086,1300.55876074854,1300.50610540172,1294.25600332464,1279.59667020654,1289.22828769153,1275.00633378832,1299.69458721368,1300.50610540172,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Sebastian Hagan","Sebastian Hagan",8414,"Norway",999,999,"True","False",NA,NA,NA,NA,NA,"Super G",1315.98928205671,1300.55876074854,1300.50610540172,1282.68592349747,1306.64714055798,1289.22828769153,1293.23905596868,1300.92826418963,1300.50610540172,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Turo Torvinen","Turo Torvinen",4041,"Finland",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1290.68099323511,1300.35200912713,1300.08733082554,1150.23423795573,1288.61710535027,1289.22828769153,1289.89510657486,1300.28213713042,1300.08733082554,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Timur Shakirov","Timur Shakirov",7210,"Kyrgyzstan",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1231.03892632948,1252.06881002526,1300,1234.61020589789,1300,1300,1234.21878441991,1300,1300,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0.153846153846154,0,"M"
"Issa Gachingiri Laborde Dit Pere","Issa Gachingiri Laborde Dit Pere",7976,"Kenya",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1246.82588973198,1252.06881002526,1300,1251.03247110226,1300,1300,1249.74769177979,1300,1300,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0.5,0,"M"
"Adam Palmer","Adam Palmer",6881,"Sweden",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1193.1553559764,1252.06881002526,1300,1280.27332938501,1195.56972623258,1289.22828769153,1196.34750181344,1299.35375281744,1300,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Ioannis Bouas","Ioannis Bouas",7261,"Belgium",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1284.62650609113,1252.06881002526,1300,1297.91702413302,1284.84186102714,1289.22828769153,1284.75211441494,1300,1300,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Gustav Wissting","Gustav Wissting",7109,"Sweden",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1223.87918067827,1252.06881002526,1300,1300,1223.26321300603,1289.22828769153,1227.0896128235,1300,1300,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0.523809523809524,"M"
"Edoardo Saracco","Edoardo Saracco",5478,"Italy",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1279.3394850839,1252.06881002526,1300,1223.29843307681,1279.45491586376,1300,1260.05253956446,1300,1300,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0,"M"
"Baptiste Sambuis","Baptiste Sambuis",7406,"France",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1285.02562696782,1252.06881002526,1300,1214.80152000128,1285.40213374951,1300,1285.6360313228,1300,1300,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",0,0,0.0588235294117647,"M"
