FISName,Skier,ID,Nation,StartOrder,Bib,Is_Host_Nation,In_Startlist,Year,Run1,Run2,Time,Points,Discipline,Elo,Downhill_Elo,Super G_Elo,Giant Slalom_Elo,Slalom_Elo,Combined_Elo,Tech_Elo,Speed_Elo,Race_Elo,Race1_Prob,City,Country,Race_Type,Race_Date
VALLERIANI Giulia,Giulia Valleriani,5329,ITA,,46,False,True,2004,,,,,Slalom,1249.0549801290642,1265.5709253288426,1283.8339988667612,1285.827361222769,1254.0480947072415,1289.5884390520164,1246.0841874306273,1279.8419792903524,1254.0480947072415,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
HOEPLI Aline,Aline Höpli,4226,SUI,,41,False,True,2001,,,,,Slalom,1249.8469878338335,1265.5709253288426,1299.3318487732297,1289.9872247226645,1249.9040165249055,1300.0,1250.9945498884067,1298.7266721761714,1249.9040165249055,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
PAZZAGLIA Alice,Alice Pazzaglia,4303,ITA,,40,False,True,2002,,,,,Slalom,1267.2491865563263,1280.5488219762972,1272.5450984839335,1301.8897496899524,1249.243791808736,1289.5884390520164,1266.886567860268,1278.2169206701008,1249.243791808736,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
MAECHLER Janine,Janine Mächler,5274,SUI,,44,False,True,2004,,,,,Slalom,1237.8846378440053,1298.7454405709088,1291.841715747312,1285.5240606324846,1248.9708742431612,1289.5884390520164,1238.2881365831802,1286.75080403407,1248.9708742431612,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
RAICH Leonie,Leonie Raich,5024,AUT,,60,False,True,2005,,,,,Slalom,1247.671746659491,1265.5709253288426,1300.0,1185.463675493839,1247.8894285748202,1289.5884390520164,1248.068830714533,1300.0,1247.8894285748202,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
BENNETT Sarah,Sarah Bennett,4156,CAN,,47,False,True,2001,,,,,Slalom,1175.4750233574994,1296.054694809775,1297.249068103976,1202.870908293682,1247.687727588126,1298.9040094814773,1173.7616781312306,1292.3081643743662,1247.687727588126,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
EGLOFF Selina,Selina Egloff,3958,SUI,,58,False,True,2001,,,,,Slalom,1241.0715186077118,1265.5709253288426,1272.5450984839335,1273.2237715341714,1247.077881762847,1289.5884390520164,1239.6034019587169,1261.9723462816562,1247.077881762847,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
DERKS Kiara,Kiara Derks,3989,NED,,63,False,True,2001,,,,,Slalom,1227.0689041119026,1265.5709253288426,1272.5450984839335,1279.791914489911,1236.815569316468,1289.5884390520164,1229.385899009418,1261.9723462816562,1236.815569316468,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
POHJOLAINEN Rosa,Rosa Pohjolainen,4060,FIN,,66,False,True,2003,,,,,Slalom,1146.587219180616,1222.748281722902,1235.7257949859088,1277.5030026305028,1234.056453993433,1298.9040094814773,1233.4966006452246,1185.7437214771487,1234.056453993433,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
ALEXANDER Kiki,Kiara Alexander,4743,CAN,,57,False,True,2001,,,,,Slalom,1231.3744329333838,1298.054029084315,1298.9342258471693,1272.804665138701,1234.013899511554,1300.0,1233.100481968818,1294.1305112226316,1234.013899511554,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
SHKANOVA Maria,Maria Shkanova,109,AIN,,64,False,True,1989,,,,,Slalom,1229.4984598691,1282.0261512938025,1240.8059940441524,1251.2674128808017,1230.4831739760896,1281.807232386052,1230.578216336567,1248.968959131801,1230.4831739760896,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
ESCANE Doriane,Doriane Escane,3577,FRA,,59,False,True,1999,,,,,Slalom,1227.4295697796904,1274.7807283257273,1245.4874577465932,1271.3121232037624,1205.682626985789,1283.985555262896,1227.1094403010345,1235.8922338848547,1205.682626985789,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
MAEDA Chisaki,Chisaki Maeda,2985,JPN,,37,False,True,1998,,,,,Slalom,1198.0276835544933,1265.5709253288426,1300.0,1287.7089821595127,1197.540480157542,1300.0,1198.6603149858538,1300.0,1197.540480157542,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
BARUZZI FARRIOL Francesca,Francesca Baruzzi Farriol,1336,ARG,,39,False,True,1998,,,,,Slalom,1219.875677911116,1256.9663798338029,1241.7360102906869,1264.0202012487837,1196.7257154298218,1263.3706726116884,1238.4491648476512,1250.339447008105,1196.7257154298218,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
Katharina Liensberger,Katharina Liensberger,2921,Austria,999,999,False,False,,,,,,Slalom,1545.1899693790383,1265.5709253288426,1297.1662562977567,1410.252539433948,1592.5432281782284,1299.356527110537,1545.6045253973405,1295.0903366262548,1592.5432281782284,0.0,Are,Sweden,Ladies' Slalom,03/15/2026
