"FISName","Skier","ID","Nation","StartOrder","Bib","Is_Host_Nation","In_Startlist","Year","Run1","Run2","Time","Points","Discipline","Elo","Downhill_Elo","Super.G_Elo","Giant.Slalom_Elo","Slalom_Elo","Combined_Elo","Tech_Elo","Speed_Elo","Race_Elo","Race1_Prob","City","Country","Race_Type","Race_Date","Sex"
"Sophia Tozzi","Sophia Tozzi",4763,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1203.56565060991,1286.67720929428,1293.69897728874,1265.59000203331,1258.81693828116,1300,1217.72022455489,1274.21950591457,1265.59000203331,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Cydnie Timmermann","Cydnie Timmermann",4982,"Canada",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1218.91394363235,1264.93731105608,1296.17070909439,1265.46158418192,1260.17587205405,1300,1226.31665703923,1293.31434471882,1265.46158418192,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Logan Grosdidier","Logan Grosdidier",6162,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1244.70965163643,1264.93731105608,1294.24352873464,1265.31713193167,1293.61063636434,1289.58843905202,1252.00145515725,1293.30970942578,1265.31713193167,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Zali Sutton","Zali Sutton",4380,"Australia",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1186.80601322116,1264.93731105608,1271.97110499893,1265.28726887653,1222.42347168748,1289.58843905202,1186.17369587365,1261.55820519784,1265.28726887653,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Simone St-Pierre","Simone St-Pierre",5302,"Canada",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1229.87219934584,1264.93731105608,1271.97110499893,1265.24441412257,1273.25921514936,1289.58843905202,1232.52691405335,1261.55820519784,1265.24441412257,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Devon Phillips","Devon Phillips",6164,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1249.69405204751,1264.93731105608,1298.51880904906,1265.02110845134,1295.43569970929,1289.58843905202,1255.66926700816,1298.9320107221,1265.02110845134,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Madison Hoffman","Madison Hoffman",3997,"Australia",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1252.94952133841,1264.93731105608,1271.97110499893,1264.93879239678,1278.57886226361,1289.58843905202,1252.96217606159,1261.55820519784,1264.93879239678,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Kendra Giesbrecht","Kendra Giesbrecht",5336,"Canada",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1269.57197148084,1264.93731105608,1295.4064327553,1264.77143849673,1256.51976051724,1289.58843905202,1270.46238664894,1295.12685287607,1264.77143849673,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Alice Caire","Alice Caire",6194,"France",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1216.2532156656,1264.93731105608,1263.71498849639,1264.69322339475,1274.45809498926,1289.58843905202,1254.21026061826,1262.41447377596,1264.69322339475,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Yuying Zhang","Yuying Zhang",5846,"China",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1253.5977048188,1300.7644218209,1300.50761412827,1264.58971591252,1297.79770210174,1289.58843905202,1253.63913306851,1301.03543438792,1264.58971591252,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Anina Zurbriggen","Anina Zurbriggen",5315,"Switzerland",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1240.50168648716,1264.93731105608,1271.97110499893,1264.50867981834,1265.89162060432,1289.58843905202,1241.86185634264,1261.55820519784,1264.50867981834,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Mikayla Wunsch","Mikayla Wunsch",5605,"Canada",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1185.40754638364,1299.81962561616,1295.70646160926,1264.46071602315,1244.60694814697,1300,1195.38999238351,1292.93641416439,1264.46071602315,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Nuunu Chemnitz Berthelsen","Nuunu Chemnitz Berthelsen",1309,"Denmark",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1241.41171035526,1264.93731105608,1271.97110499893,1264.19628960289,1246.57114257851,1289.58843905202,1241.65171240678,1261.55820519784,1264.19628960289,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Kim Vanreusel","Kim Vanreusel",2962,"Belgium",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1159.39222000077,1285.14077893557,1281.43614469791,1263.36058244373,1161.8418426394,1293.58837866587,1161.04475352541,1272.98864385754,1263.36058244373,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Emilia Mondinelli","Emilia Mondinelli",4987,"Italy",999,999,"True","False",NA,"","","",NA,"Giant Slalom",1245.87833862668,1264.93731105608,1271.97110499893,1262.9096880305,1247.89509135272,1289.58843905202,1246.63225327139,1261.55820519784,1262.9096880305,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Annika Hunt","Annika Hunt",5297,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1245.15381665438,1294.89281217125,1298.186647881,1262.45866330605,1249.42880008712,1289.58843905202,1245.74415900526,1292.90102128853,1262.45866330605,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Kaila Lafreniere","Kaila Lafreniere",5090,"Canada",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1210.36235537538,1289.88963637029,1295.01254354383,1262.11208847866,1264.65553803749,1300,1224.10484222073,1283.8532255914,1262.11208847866,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Marte Monsen","Marte Monsen",3793,"Norway",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1342.63649891998,1407.38124979268,1212.34021441713,1261.78216212615,1248.76488432236,1286.98043172349,1262.81637551355,1336.56948975382,1261.78216212615,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Sophie Mathiou","Sophie Mathiou",4103,"Italy",999,999,"True","False",NA,"","","",NA,"Giant Slalom",1201.9459830827,1264.93731105608,1298.27545021647,1261.69059538362,1203.39978318635,1300,1198.46118273379,1297.0732025543,1261.69059538362,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Sofia Parravicini","Sofia Parravicini",5912,"Italy",999,999,"True","False",NA,"","","",NA,"Giant Slalom",1199.91221222153,1259.87236436003,1267.85892116276,1261.32955132653,1274.45809498926,1289.58843905202,1258.89683831963,1234.32085521182,1261.32955132653,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Marie-Penelope Robinson","Marie-Penelope Robinson",4984,"Canada",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1204.37744105448,1296.68679095646,1293.8778351823,1261.31309636423,1268.08706951133,1300,1217.58008688263,1288.52201175675,1261.31309636423,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Elisa Eisner","Elisa Eisner",6358,"Austria",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1235.35985176961,1264.93731105608,1271.97110499893,1261.25897112521,1285.31674473867,1289.58843905202,1235.47146771845,1261.55820519784,1261.25897112521,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Maja Waroschitz","Maja Waroschitz",5878,"Austria",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1208.88557466003,1264.93731105608,1300,1260.57656889525,1236.88731040329,1300,1210.76788831298,1300,1260.57656889525,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Emily Schöpf","Emily Schöpf",3996,"Austria",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1269.68693973971,1254.136157328,1288.17386724645,1260.42963082704,1274.45809498926,1287.75110476708,1261.76258806011,1260.40392639536,1260.42963082704,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Mialitiana Clerc","Mialitiana Clerc",3889,"Madagascar",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1224.73003587114,1264.93731105608,1271.97110499893,1260.07145018783,1240.19531751411,1289.58843905202,1224.51991496132,1261.55820519784,1260.07145018783,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Gabby Wall","Gabby Wall",5102,"Canada",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1184.94275801556,1296.54761808267,1297.37978865801,1259.67458419177,1251.83217068867,1289.58843905202,1198.6679665476,1293.04835629914,1259.67458419177,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Lily Sewell","Lily Sewell",4762,"Canada",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1219.28645507852,1264.93731105608,1297.55180537117,1259.49882839167,1273.3969184925,1289.58843905202,1227.44317192287,1297.11928831442,1259.49882839167,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Lila Lapanja","Lila Lapanja",377,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1111.54602200121,1264.93731105608,1296.77326324481,1259.31340857381,1119.32028153785,1301.4514170829,1113.50537818205,1296.27453730609,1259.31340857381,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Amelie Klopfenstein","Amelie Klopfenstein",4092,"Switzerland",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1230.9043612298,1264.93731105608,1266.30109841819,1258.64326556798,1235.48201156172,1285.58953502009,1230.41065949418,1271.79582998534,1258.64326556798,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Aura Wieser","Aura Wieser",5917,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1207.30198505449,1298.05402908432,1296.42766182314,1258.58513855578,1267.97891389616,1289.58843905202,1220.19040116449,1293.02718449138,1258.58513855578,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Charlotte Coomber","Charlotte Coomber",6043,"Australia",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1195.09531324121,1291.95520054627,1273.49603624279,1258.50400920451,1277.82954742629,1289.58843905202,1236.20754899383,1265.35460884844,1258.50400920451,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Mathilde Phillips","Mathilde Phillips",6138,"Switzerland",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1242.47660713803,1264.93731105608,1299.37039116452,1258.35127783212,1300.2471928904,1300,1245.21705256478,1299.3156423724,1258.35127783212,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Anuk Brändli","Anuk Brändli",5277,"Switzerland",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1342.22598366114,1264.93731105608,1271.97110499893,1258.30850812018,1336.37219309818,1289.58843905202,1341.35007671378,1261.55820519784,1258.30850812018,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Karen Clement","Karen Clement",3772,"France",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1192.72906212635,1165.60961915437,1264.86155046905,1258.18381719756,1283.9246189264,1272.14475264682,1262.98219812415,1191.79964850647,1258.18381719756,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Jacqueline Wiles","Jacqueline Wiles",378,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1427.55715872138,1469.16933628403,1226.87515082499,1257.63921958875,1297.06267284144,1258.83623483414,1253.31717666746,1418.73887608759,1257.63921958875,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Asa Ando","Asa Ando",427,"Japan",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1336.26535427435,1264.93731105608,1293.46477026692,1257.5900973952,1330.74033028709,1295.55264791433,1335.27841593695,1292.98035436084,1257.5900973952,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Stella Terese Tschach","Stella Terese Tschach",6409,"Austria",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1240.24001147826,1264.93731105608,1271.97110499893,1257.21772191237,1274.45809498926,1289.58843905202,1243.39660852314,1261.55820519784,1257.21772191237,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Madison Kaiserman","Madison Kaiserman",4775,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1230.57541484739,1264.93731105608,1271.97110499893,1256.5008576539,1278.56361233371,1289.58843905202,1232.02954086267,1261.55820519784,1256.5008576539,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Amelie Bourgeois","Amelie Bourgeois",5304,"Canada",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1184.86237221503,1298.0371097514,1292.16155305079,1255.79870815299,1251.18224659553,1289.58843905202,1200.75879315259,1290.16249311968,1255.79870815299,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Guadalupe Simari Birkner","Guadalupe Simari Birkner",5683,"Argentina",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1194.08772186076,1290.51655848012,1275.25685650403,1255.32101514702,1279.02209515171,1289.58843905202,1235.95332445696,1264.95059594513,1255.32101514702,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Beatrice May","Beatrice May",5295,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1212.24782437067,1297.15407704083,1293.99264946855,1255.21309156317,1265.09236617121,1289.58843905202,1221.89553508819,1290.99030450712,1255.21309156317,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Beatrice Sola","Beatrice Sola",4229,"Italy",999,999,"True","False",NA,"","","",NA,"Giant Slalom",1276.43203979487,1264.93731105608,1271.97110499893,1253.75636676208,1287.8618696253,1289.58843905202,1276.3002296429,1261.55820519784,1253.75636676208,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Yueming Ni","Yueming Ni",2901,"China",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1231.94552913205,1288.60309025994,1285.08770039377,1253.72819026591,1265.63780398816,1289.58843905202,1238.99218572046,1286.34306702972,1253.72819026591,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Cornelia Öhlund","Cornelia Öhlund",5016,"Sweden",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1431.41317814526,1264.93731105608,1271.97110499893,1253.53508114616,1457.06744074989,1289.58843905202,1430.07972958136,1261.55820519784,1253.53508114616,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Sofia Bogni Barry","Sofia Bogni Barry",5185,"Argentina",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1191.16779939611,1286.07718864466,1286.158817757,1253.41892449126,1273.39235629698,1300,1223.3440495928,1271.60103105685,1253.41892449126,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Olivia Levesque","Olivia Levesque",5991,"Canada",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1202.48626642573,1264.93731105608,1300,1253.38387599983,1264.84435361128,1289.58843905202,1206.67562620669,1298.50907639155,1253.38387599983,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Nadine Fest","Nadine Fest",2969,"Austria",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1302.78944867521,1244.02652371504,1297.73243926303,1253.16765671842,1288.09051534969,1309.37123930517,1260.33633050471,1288.85062004077,1253.16765671842,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Victoria Klotz","Victoria Klotz",6301,"Italy",999,999,"True","False",NA,"","","",NA,"Giant Slalom",1226.9647101795,1264.93731105608,1271.97110499893,1253.16335873011,1279.0041075431,1289.58843905202,1231.31176661391,1261.55820519784,1253.16335873011,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Emma Wieser","Emma Wieser",4224,"Italy",999,999,"True","False",NA,"","","",NA,"Giant Slalom",1179.44522762452,1264.93731105608,1271.97110499893,1252.83416675653,1229.91083835594,1289.58843905202,1184.88170291299,1261.55820519784,1252.83416675653,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Leonie Carroz","Leonie Carroz",6108,"France",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1180.62884106579,1264.93731105608,1299.34552944923,1252.74782708745,1229.50029146326,1289.58843905202,1183.81477772058,1299.24570786058,1252.74782708745,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Elisabeth Creighton","Elisabeth Creighton",4760,"Canada",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1229.60490384369,1264.93731105608,1271.97110499893,1252.73366721989,1286.48644578875,1289.58843905202,1232.52188997798,1261.55820519784,1252.73366721989,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Stella Buchheister","Stella Buchheister",5283,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1203.20882440828,1264.93731105608,1296.75939106995,1252.12101545745,1262.94545882734,1289.58843905202,1208.16637167478,1296.42189188216,1252.12101545745,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Eleri Smart","Eleri Smart",4778,"Canada",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1210.85987964506,1264.93731105608,1271.97110499893,1251.44649720935,1241.79663634498,1289.58843905202,1212.86973778236,1261.55820519784,1251.44649720935,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Maria Shkanova","Maria Shkanova",109,"Belarus",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1219.84783811313,1282.0261512938,1240.80599404415,1251.2674128808,1223.36824258401,1281.80723238605,1221.89853165046,1248.9689591318,1251.2674128808,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Viktoria Zaytseva","Viktoria Zaytseva",5895,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1175.91166801655,1298.33154328869,1300,1250.57938359768,1231.01808041774,1289.58843905202,1179.89741332502,1297.56567546602,1250.57938359768,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Macarena Simari Birkner","Macarena Simari Birkner",55,"Argentina",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1123.48404290098,1109.88375063358,1176.59681075606,1250.18416395316,1273.25110962083,1190.10418734757,1262.70812879043,1093.83080151738,1250.18416395316,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Mirjam Puchner","Mirjam Puchner",175,"Austria",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1518.90039103676,1494.31560499607,1428.90937253405,1250.07590534369,1294.07345597037,1293.87346140446,1251.35519375886,1503.5204042503,1250.07590534369,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Elena Grumer","Elena Grumer",6250,"Austria",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1239.44458088403,1264.93731105608,1271.97110499893,1249.61421333141,1274.45809498926,1289.58843905202,1241.71437598255,1261.55820519784,1249.61421333141,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Alexa Brownlie","Alexa Brownlie",5341,"Canada",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1170.98036590074,1296.28186681707,1292.71373661143,1249.09720396651,1245.35167025088,1289.58843905202,1185.3845747746,1286.10242347316,1249.09720396651,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Maria Sole Antonini","Maria Sole Antonini",5213,"Italy",999,999,"True","False",NA,"","","",NA,"Giant Slalom",1188.21056041048,1264.93731105608,1271.97110499893,1248.98527653832,1244.14892748411,1289.58843905202,1193.0329358581,1261.55820519784,1248.98527653832,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Lina Gustafsson","Lina Gustafsson",5940,"Sweden",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1243.15399380636,1264.93731105608,1300,1246.96849588501,1300.87017636915,1300,1243.23068596164,1300,1246.96849588501,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Arianna Putzer","Arianna Putzer",6326,"Italy",999,999,"True","False",NA,"","","",NA,"Giant Slalom",1185.35770874773,1264.93731105608,1282.57954312042,1246.89623544243,1260.62493930297,1289.58843905202,1205.6729001781,1276.09442023687,1246.89623544243,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Annabel Jallat","Annabel Jallat",5433,"France",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1237.53829050155,1264.93731105608,1271.97110499893,1246.34020910099,1243.48203781083,1289.58843905202,1238.12410479405,1261.55820519784,1246.34020910099,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Elisa Platino","Elisa Platino",3947,"Italy",999,999,"True","False",NA,"","","",NA,"Giant Slalom",1267.31059827805,1264.93731105608,1279.36115934057,1245.59290630909,1274.45809498926,1289.58843905202,1266.38854206987,1270.7102717318,1245.59290630909,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Janine Schmitt","Janine Schmitt",4140,"Switzerland",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1322.44498328562,1328.1865200384,1255.9204252249,1245.52185037086,1247.08904904519,1283.9327079143,1251.63952728312,1321.99219773442,1245.52185037086,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Adriane Steinsvik","Adriane Steinsvik",5590,"Norway",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1228.21319006813,1264.93731105608,1271.97110499893,1244.95853269303,1277.80221988023,1289.58843905202,1230.20828742742,1261.55820519784,1244.95853269303,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Emma Resnick","Emma Resnick",4114,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1214.89906976469,1264.93731105608,1300,1244.77873313898,1262.03731422304,1300,1216.65291097504,1300,1244.77873313898,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Sara Allemand","Sara Allemand",4144,"France",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1244.94269029011,1217.52894736533,1304.81154542325,1244.24204441197,1274.45809498926,1281.93127631019,1250.41732626364,1234.19434327746,1244.24204441197,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Garance Meyer","Garance Meyer",5279,"France",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1215.39828687698,1248.87278062305,1216.33063107718,1243.82124992855,1217.73929507972,1289.58843905202,1186.14744372195,1203.61732971619,1243.82124992855,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Ali Nullmeyer","Ali Nullmeyer",2972,"Canada",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1397.36498192147,1264.93731105608,1300,1243.11542883659,1397.26884650296,1289.58843905202,1396.92472357116,1300,1243.11542883659,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Cathinka Lunder","Cathinka Lunder",4097,"Norway",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1230.81334221046,1299.37484123096,1301.17224057244,1242.66306048519,1289.41214830213,1300,1234.02828430623,1299.95295072007,1242.66306048519,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Kjersti Moritz","Kjersti Moritz",4742,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1233.21984144253,1264.93731105608,1298.59095342208,1242.43576169097,1280.6947292143,1300,1234.88980817764,1298.1050764573,1242.43576169097,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Luisa Illig","Luisa Illig",6411,"Germany",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1190.5200153866,1264.93731105608,1271.97110499893,1242.0952132189,1255.72492057846,1289.58843905202,1194.06570806329,1261.55820519784,1242.0952132189,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Amelia Gillard","Amelia Gillard",5591,"New Zealand",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1220.18528333667,1294.23656059368,1294.87043467897,1241.88470474046,1295.56729369686,1299.15863822674,1224.85906682475,1288.53410300661,1241.88470474046,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Kira Weidle-Winkelmann","Kira Weidle-Winkelmann",1340,"Germany",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1576.8604625452,1540.52782149514,1450.25382889463,1241.34427792592,1300.8288349645,1273.45433250769,1242.67023666315,1566.52109055654,1241.34427792592,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Julia Clason","Julia Clason",6062,"Norway",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1181.54290622357,1264.93731105608,1271.97110499893,1241.09759114935,1231.16749857277,1289.58843905202,1186.28137051465,1261.55820519784,1241.09759114935,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Christina Jacobsen","Christina Jacobsen",5252,"Norway",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1172.10416913124,1299.19499565289,1298.71939845416,1240.73591938661,1232.14005912521,1289.58843905202,1176.53579088788,1297.27037976099,1240.73591938661,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Jana Fritz","Jana Fritz",5269,"Germany",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1247.02861062721,1264.93731105608,1271.97110499893,1240.66030458405,1295.98287475735,1289.58843905202,1248.59352586562,1261.55820519784,1240.66030458405,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Tatum Bieler","Tatum Bieler",5490,"Italy",999,999,"True","False",NA,"","","",NA,"Giant Slalom",1226.69102487319,1264.93731105608,1300,1238.59636076057,1241.72911304239,1289.58843905202,1225.99978885648,1300,1238.59636076057,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Aline Danioth","Aline Danioth",1321,"Switzerland",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1350.38221792899,1264.93731105608,1291.38619989646,1238.5262080849,1355.95853829251,1302.15404206705,1350.85076881528,1289.72319826235,1238.5262080849,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Elisa Eder","Elisa Eder",6200,"Austria",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1187.32636892975,1264.93731105608,1251.95812914559,1238.46855063973,1300.2471928904,1289.58843905202,1231.82395814215,1252.16013933724,1238.46855063973,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Ariane Rädler","Ariane Rädler",3633,"Austria",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1495.45173807286,1442.76738042223,1437.52258984249,1237.4341155088,1283.52048181592,1279.03401539979,1235.46162408312,1480.93001266289,1237.4341155088,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Tricia Mangan","Tricia Mangan",1341,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1211.40451226142,1167.57524811183,1243.38654296797,1236.81765416632,1285.57420258096,1308.32365769251,1236.66370439891,1205.99404794912,1236.81765416632,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
"Galena Wardle","Galena Wardle",1330,"USA",999,999,"False","False",NA,"","","",NA,"Giant Slalom",1192.71683068489,1289.79749751664,1280.04613811012,1236.78849854424,1246.58828694002,1296.8021997669,1199.72766310621,1267.43035270334,1236.78849854424,0,"Kronplatz","Italy","Ladies' Giant Slalom","01/20/2026","L"
