Nation,Season,Race,Place,Date,City,Country,Event,HillSize,TeamSize,RaceType,Sex,Total_Elo,Total_Normal_Elo,Total_Large_Elo,Total_Flying_Elo,Total_Pelo,Total_Normal_Pelo,Total_Large_Pelo,Total_Flying_Pelo,Avg_Elo,Avg_Normal_Elo,Avg_Large_Elo,Avg_Flying_Elo,Avg_Pelo,Avg_Normal_Pelo,Avg_Large_Pelo,Avg_Flying_Pelo,TeamMembers,MemberIDs,AvgAge,MaxAge,MinAge,AvgExp,MaxExp,MinExp
Russia,2019,16,5,2019-02-09,Ljubno,Slovenia,World Cup,94,4,Team Normal,L,5462.720518756749,5384.1450918849305,5142.433928009116,5179.294117647059,5459.620491421377,5381.1755681056575,5127.259382849664,5200.0,1365.6801296891872,1346.0362729712326,1285.608482002279,1294.8235294117646,1364.9051228553442,1345.2938920264144,1281.814845712416,1300.0,"Lidiia Iakovleva,Sofya Tikhonova,Alexandra Kustova,Anna Shpyneva","245,27,29,282",18.819986310746064,20.45722108145106,17.100616016427104,42.75,90,5
Norway,2019,16,6,2019-02-09,Ljubno,Slovenia,World Cup,94,4,Team Normal,L,5940.824564750597,5755.89786434461,5480.228041511569,5179.294117647059,5947.45586175509,5760.912862331627,5406.9908811328005,5200.0,1485.2061411876493,1438.9744660861525,1370.0570103778923,1294.8235294117646,1486.8639654387725,1440.2282155829068,1351.7477202832001,1300.0,"Ingebjørg Saglien Bråten,Maren Lundby,Silje Opseth,Anna Odine Strøm","295,9,221,44",21.10403832991102,24.424366872005475,19.38945927446954,56.5,125,8
France,2019,16,7,2019-02-09,Ljubno,Slovenia,World Cup,94,4,Team Normal,L,5109.896971197772,5104.848499242322,4983.407833529956,5179.294117647059,5111.148296099688,5106.510924116831,5039.166171496528,5200.0,1277.474242799443,1276.2121248105805,1245.851958382489,1294.8235294117646,1277.787074024922,1276.6277310292078,1259.791542874132,1300.0,"Lea Lemare,Josephine Pagnier,Lucile Morat,Oceane Avocat Gros","30,280,279,71",19.693360711841205,22.636550308008214,16.684462696783026,43.5,105,5
Italy,2019,16,8,2019-02-09,Ljubno,Slovenia,World Cup,94,4,Team Normal,L,5205.12215663197,5174.93128001055,5105.617515852253,5179.294117647059,5212.183501222235,5181.550187160325,5108.538051273537,5200.0,1301.2805391579925,1293.7328200026375,1276.4043789630632,1294.8235294117646,1303.0458753055586,1295.3875467900812,1277.1345128183843,1300.0,"Arianna Sieff,Lara Malsiner,Veronica Gianmoena,Elena Runggaldier","381,253,74,39",22.22655715263518,28.585900068446268,18.203969883641342,40.0,114,1
Czechia,2019,16,9,2019-02-09,Ljubno,Slovenia,World Cup,94,4,Team Normal,L,4913.3955926175495,4960.107793655419,4967.105266948537,5179.294117647059,4921.195559759624,4968.161903192466,5021.593536555475,5200.0,1228.3488981543874,1240.0269484138548,1241.7763167371343,1294.8235294117646,1230.298889939906,1242.0404757981164,1255.3983841388688,1300.0,"Zdenka Pesatova,Karolina Indrackova,Marta Krepelkova,Barbora Blazkova","77,50,283,41",22.635865845311432,27.646817248459957,20.060232717316907,10.75,23,2
USA,2019,16,10,2019-02-09,Ljubno,Slovenia,World Cup,94,4,Team Normal,L,4718.8332909857345,4792.919267597886,4894.473484983999,5179.294117647059,4728.8373486333,4803.122052599216,4979.976947902469,5200.0,1179.7083227464336,1198.2298168994714,1223.6183712459997,1294.8235294117646,1182.209337158325,1200.780513149804,1244.9942369756172,1300.0,"Nita Englund,Logan Sankey,Tara Geraghty-Moats,Nina Lussi","26,225,40,37",24.516769336071185,26.666666666666668,20.70362765229295,42.75,76,7
Germany,2019,20,1,2019-02-26,Seefeld,Austria,World Championship,109,4,Team Normal,L,6586.817906043309,6290.264461789566,5890.751041997856,5179.294117647059,6577.2074057465015,6279.963916308576,5820.749467110494,5200.0,1646.7044765108274,1572.5661154473914,1472.687760499464,1294.8235294117646,1644.3018514366254,1569.990979077144,1455.1873667776235,1300.0,"Juliane Seyfarth,Katharina Schmid,Ramona Straub,Carina Vogt","63,13,79,4",26.069130732375086,29.01848049281314,22.76249144421629,107.75,124,80
Austria,2019,20,2,2019-02-26,Seefeld,Austria,World Championship,109,4,Team Normal,L,6210.787779443697,6023.757262914721,5716.85512322384,5179.294117647059,6201.301707344712,6014.409532149546,5668.94873100366,5200.0,1552.6969448609243,1505.9393157286802,1429.21378080596,1294.8235294117646,1550.325426836178,1503.6023830373865,1417.237182750915,1300.0,"Jacqueline Seifriedsberger,Daniela Iraschko-Stolz,Eva Pinkelnig,Chiara Kreuzer","18,7,14,21",28.93223819301848,35.266255989048595,21.609856262833674,95.5,115,60
Norway,2019,20,3,2019-02-26,Seefeld,Austria,World Championship,109,4,Team Normal,L,5988.718689446129,5781.96711477695,5544.697715683846,5179.294117647059,5980.0455403164815,5773.022457777279,5518.424120636254,5200.0,1497.1796723615323,1445.4917786942376,1386.1744289209614,1294.8235294117646,1495.0113850791204,1443.2556144443197,1379.6060301590635,1300.0,"Silje Opseth,Ingebjørg Saglien Bråten,Anna Odine Strøm,Maren Lundby","221,295,44,9",21.150581793292265,24.470910335386723,19.436002737850785,60.25,129,11
Slovenia,2019,20,4,2019-02-26,Seefeld,Austria,World Championship,109,4,Team Normal,L,5907.306567365764,5767.661025477271,5366.552155566862,5179.294117647059,5902.912021180011,5763.204868637419,5285.978283290197,5200.0,1476.826641841441,1441.9152563693178,1341.6380388917155,1294.8235294117646,1475.7280052950027,1440.8012171593548,1321.4945708225493,1300.0,"Ursa Bogataj,Spela Rogelj,Nika Kriznar,Jerneja Brecl","20,19,266,281",21.198494182067076,24.30116358658453,17.54962354551677,80.75,130,19
Russia,2019,20,5,2019-02-26,Seefeld,Austria,World Championship,109,4,Team Normal,L,5512.27051594011,5457.541092398654,5087.782545825334,5179.294117647059,5506.955591584463,5453.036496262599,5128.495902487305,5200.0,1378.0676289850276,1364.3852730996634,1271.9456364563334,1294.8235294117646,1376.7388978961158,1363.2591240656498,1282.1239756218263,1300.0,"Anna Shpyneva,Lidiia Iakovleva,Alexandra Kustova,Sofya Tikhonova","282,245,29,27",18.866529774127308,20.503764544832308,17.14715947980835,46.5,94,9
Japan,2019,20,6,2019-02-26,Seefeld,Austria,World Championship,109,4,Team Normal,L,6168.361204221966,5993.611229325177,5752.065100682847,5179.294117647059,6175.583937105456,5999.4843150368615,5717.507635757911,5200.0,1542.0903010554914,1498.4028073312943,1438.0162751707117,1294.8235294117646,1543.895984276364,1499.8710787592154,1429.3769089394777,1300.0,"Sara Takanashi,Nozomi Maruyama,Yuki Ito,Kaori Iwabuchi","3,222,5,35",23.438056125941138,25.831622176591374,20.736481861738536,96.25,132,18
