"Date","City","Country","Nation","RaceType","Season","Race","Event","Elevation","Place","Points","Avg_Elo","Avg_Individual_Elo","Avg_Sprint_Elo","Avg_MassStart_Elo","Avg_IndividualCompact_Elo","Avg_Pelo","Avg_Individual_Pelo","Avg_Sprint_Pelo","Avg_MassStart_Pelo","Avg_IndividualCompact_Pelo","MassStart","Sex"
2013-01-13,"Chaux-Neuve","France","Czechia","Team Sprint",2013,10,"World Cup",1098,8,49,1322.08504738092,1325.09798659024,1247.62528254812,1302.86452663502,NA,1323.63586619137,1332.57786890493,1248.07526253118,1262.99800350171,NA,0,"M"
2013-01-13,"Chaux-Neuve","France","Estonia","Team Sprint",2013,10,"World Cup",1098,17,28,1151.98627284984,1157.87981116452,NA,1257.88780078567,NA,1154.54268845277,1165.17308080263,NA,1300,NA,0,"M"
2013-01-13,"Chaux-Neuve","France","France","Team Sprint",2013,10,"World Cup",1098,3,80,1553.98241113791,1551.45046854816,1319.82018633672,1342.94788195616,NA,1553.04858027892,1554.54973328546,1323.3178662785,1326.3452058109,NA,0,"M"
2013-01-13,"Chaux-Neuve","France","Germany","Team Sprint",2013,10,"World Cup",1098,1,100,1594.39060864102,1585.76973602999,1403.2935102858,1402.45968602921,NA,1590.53826099258,1572.86133617165,1421.52177680682,1376.89992089792,NA,0,"M"
2013-01-13,"Chaux-Neuve","France","Italy","Team Sprint",2013,10,"World Cup",1098,15,32,1289.7692700109,1299.24871400521,1229.13303142642,1263.02825561429,NA,1293.42341068915,1310.91561221735,1216.62709579578,1282.14808585076,NA,0,"M"
2013-01-13,"Chaux-Neuve","France","Japan","Team Sprint",2013,10,"World Cup",1098,12,38,1376.52295256416,1381.00655716639,NA,1266.17644322887,NA,1378.23056069069,1363.44679305872,NA,1300,NA,0,"M"
2013-01-13,"Chaux-Neuve","France","Norway","Team Sprint",2013,10,"World Cup",1098,2,90,1561.55678083662,1551.16825143617,1397.5415422017,1350.72643288398,NA,1558.04291503751,1550.34608404825,1414.75475553141,1355.65394048989,NA,0,"M"
2013-01-13,"Chaux-Neuve","France","Slovenia","Team Sprint",2013,10,"World Cup",1098,11,40,1316.69272387294,1315.5091883762,1250.7180598441,1254.97259072277,NA,1315.79079354035,1306.83080339025,1242.02124687542,1264.40338205935,NA,0,"M"
2013-01-13,"Chaux-Neuve","France","Switzerland","Team Sprint",2013,10,"World Cup",1098,14,34,1288.61862685546,1289.80100866706,1290.15458417644,1297.62634937008,NA,1290.49026106997,1285.70446928355,1288.41715785463,1304.4682279907,NA,0,"M"
2013-01-13,"Chaux-Neuve","France","USA","Team Sprint",2013,10,"World Cup",1098,7,52,1424.8982968989,1416.26361057525,1347.60076861555,1355.12460516766,NA,1425.53609512121,1426.17137448622,1366.49030840593,1340.30364556525,NA,0,"M"
2013-03-02,"Val Di Fiemme","Italy","Austria","Team Sprint",2013,22,"World Championship",1082,2,90,1616.90585774991,1616.80040750371,1381.72720022349,1376.7460328479,NA,1614.06818524509,1603.89176467325,1396.14964732175,1366.76328087172,NA,0,"M"
2013-03-02,"Val Di Fiemme","Italy","Czechia","Team Sprint",2013,22,"World Championship",1082,8,49,1389.71347937545,1396.43451283256,1247.62528254812,1302.86452663502,NA,1389.85500548001,1397.90032135103,1248.07526253118,1262.99800350171,NA,0,"M"
2013-03-02,"Val Di Fiemme","Italy","Estonia","Team Sprint",2013,22,"World Championship",1082,10,43,1234.55697330542,1245.25836989378,NA,1263.88780078567,NA,1234.27740074889,1247.11096636872,NA,1300,NA,0,"M"
2013-03-02,"Val Di Fiemme","Italy","Finland","Team Sprint",2013,22,"World Championship",1082,11,40,1236.65951199563,1234.91467837329,NA,NA,NA,1237.57292604809,1228.29738168609,NA,NA,NA,0,"M"
2013-03-02,"Val Di Fiemme","Italy","France","Team Sprint",2013,22,"World Championship",1082,1,100,1651.29923556879,1643.07547059072,1375.04512716394,1361.62399987212,NA,1647.7880168664,1632.94309002335,1388.28838489876,1343.87561400493,NA,0,"M"
2013-03-02,"Val Di Fiemme","Italy","Germany","Team Sprint",2013,22,"World Championship",1082,3,80,1654.84455334496,1654.82047574849,1378.35965480516,1390.6995329023,NA,1653.69452922041,1653.61867955231,1392.18782918254,1346.38480606191,NA,0,"M"
2013-03-02,"Val Di Fiemme","Italy","Italy","Team Sprint",2013,22,"World Championship",1082,7,52,1395.42861082858,1392.94289346938,1290.49347713177,1292.6099175002,NA,1394.53800571547,1398.34097832716,1288.81585544914,1293.52296198152,NA,0,"M"
2013-03-02,"Val Di Fiemme","Italy","Japan","Team Sprint",2013,22,"World Championship",1082,4,70,1579.47968099116,1586.11902210114,1263.99996412734,1301.34876426128,NA,1578.22348225927,1576.87326699033,1263.56205402041,1295.611257307,NA,0,"M"
2013-03-02,"Val Di Fiemme","Italy","Norway","Team Sprint",2013,22,"World Championship",1082,5,60,1646.47409827044,1640.39159644326,1397.5415422017,1350.72643288398,NA,1647.49295119207,1636.84665097246,1414.75475553141,1355.65394048989,NA,0,"M"
2013-03-02,"Val Di Fiemme","Italy","Russia","Team Sprint",2013,22,"World Championship",1082,13,36,1145.23796625828,1152.22983205748,NA,1233.14031663253,NA,1147.02561459159,1157.97869836606,NA,1256.17644322887,NA,0,"M"
2013-03-02,"Val Di Fiemme","Italy","Slovenia","Team Sprint",2013,22,"World Championship",1082,9,46,1323.66412614396,1326.49819341104,1250.7180598441,1254.97259072277,NA,1323.79364124534,1310.27123790887,1242.02124687542,1264.40338205935,NA,0,"M"
2013-03-02,"Val Di Fiemme","Italy","Switzerland","Team Sprint",2013,22,"World Championship",1082,12,38,1271.47438006714,1272.74580610758,1290.15458417644,1297.62634937008,NA,1274.07821840038,1283.2258969544,1288.41715785463,1304.4682279907,NA,0,"M"
2013-03-02,"Val Di Fiemme","Italy","USA","Team Sprint",2013,22,"World Championship",1082,6,55,1450.22222210822,1443.77228076704,1458.02815148249,1439.99724773508,NA,1449.17642128453,1434.96880070871,1485.91547233234,1404.99775234317,NA,0,"M"
2013-03-02,"Val Di Fiemme","Italy","Ukraine","Team Sprint",2013,22,"World Championship",1082,14,34,1241.92959885533,1237.50593996151,NA,NA,NA,1246.30589656572,1247.26995113695,NA,NA,NA,0,"M"
2013-03-09,"Lahti","Finland","Austria","Team Sprint",2013,24,"World Cup",86,5,60,1532.71855669008,1529.42970817692,1397.28985528373,1377.101209358,NA,1530.30542628661,1522.38584758171,1414.45865327497,1361.61096968642,NA,0,"M"
