Nation,Season,Race,Place,Date,City,Country,Event,Sex,TeamSize,RaceType,Distance,MassStart,Team_Elo,Team_Individual_Elo,Team_IndividualCompact_Elo,Team_Sprint_Elo,Team_MassStart_Elo,Team_Pelo,Team_Individual_Pelo,Team_IndividualCompact_Pelo,Team_Sprint_Pelo,Team_MassStart_Pelo,Avg_Elo,Avg_Individual_Elo,Avg_IndividualCompact_Elo,Avg_Sprint_Elo,Avg_MassStart_Elo,Avg_Pelo,Avg_Individual_Pelo,Avg_IndividualCompact_Pelo,Avg_Sprint_Pelo,Avg_MassStart_Pelo,TeamMembers,MemberIDs,AvgAge,MaxAge,MinAge,AvgExp,MaxExp,MinExp
Norway,2007,7,20,2007-01-03,Ruhpolding,Germany,World Cup,M,1,Team Sprint,7.5,0,1288.875164672942,1253.1058879227496,1269.9951725426806,1273.3381235214322,1273.6940076832118,1300.0,1255.5696573441408,1285.7464830860777,1275.7737186889901,1300.0,1288.875164672942,1253.1058879227496,1269.9951725426806,1273.3381235214322,1273.6940076832118,1300.0,1255.5696573441408,1285.7464830860777,1275.7737186889901,1300.0,Jan Christian Bjørn,149,22.365503080082135,22.365503080082135,22.365503080082135,1.0,1,1
Italy,2007,7,21,2007-01-03,Ruhpolding,Germany,World Cup,M,2,Team Sprint,7.5,0,2435.566233293802,2444.954354301889,2539.9903450853612,2507.4694121479674,2427.4508879902646,2455.3367453812107,2474.111048400254,2571.4929661721553,2491.140484879962,2474.077846693792,1217.783116646901,1222.4771771509445,1269.9951725426806,1253.7347060739837,1213.7254439951323,1227.6683726906053,1237.055524200127,1285.7464830860777,1245.570242439981,1237.038923346896,"Jochen Strobl,Daniele Munari","207,152",25.704312114989733,27.85763175906913,23.550992470910334,41.0,68,14
France,2012,7,1,2011-12-16,Seefeld,Austria,World Cup,M,2,Team Sprint,7.5,0,3233.5504237961572,3207.419746772911,2539.9903450853612,2754.8300245513237,2741.5827511875273,3222.6564761933832,3211.826368951336,2571.4929661721553,2782.1529700603814,2706.58497857055,1616.7752118980786,1603.7098733864555,1269.9951725426806,1377.4150122756619,1370.7913755937636,1611.3282380966916,1605.913184475668,1285.7464830860777,1391.0764850301907,1353.292489285275,"Jason Lamy Chappuis,Sébastien Lacroix","2,20",26.96235455167693,28.657084188911703,25.267624914442163,127.0,147,107
Italy,2012,7,2,2011-12-16,Seefeld,Austria,World Cup,M,2,Team Sprint,7.5,0,3036.884048971461,3016.9925933415443,2539.9903450853612,2563.188552710738,2580.3969375783095,3024.207963985943,3003.0432167282443,2571.4929661721553,2563.833047146997,2562.8732961313626,1518.4420244857306,1508.4962966707722,1269.9951725426806,1281.594276355369,1290.1984687891547,1512.1039819929715,1501.5216083641221,1285.7464830860777,1281.9165235734986,1281.4366480656813,"Alessandro Pittin,Lukas Runggaldier","8,25",23.110198494182065,24.37782340862423,21.842573579739902,54.5,61,48
Norway,2012,7,3,2011-12-16,Seefeld,Austria,World Cup,M,2,Team Sprint,7.5,0,3042.582638048907,3014.3088901183146,2539.9903450853612,2573.9420826864193,2553.3561089948225,3032.27250707053,2982.1711016648214,2571.4929661721553,2576.4842588830925,2572.873995472318,1521.2913190244535,1507.1544450591573,1269.9951725426806,1286.9710413432097,1276.6780544974113,1516.136253535265,1491.0855508324107,1285.7464830860777,1288.2421294415462,1286.436997736159,"Magnus Krog,Mikko Kokslien","22,4",25.756331279945243,26.767967145790553,24.74469541409993,42.0,72,12
Norway,2012,7,4,2011-12-16,Seefeld,Austria,World Cup,M,2,Team Sprint,7.5,0,3194.173334579399,3166.7653964474302,2539.9903450853612,2836.3733258037832,2820.9563870002257,3189.956863269414,3165.624430339422,2571.4929661721553,2878.08626565151,2821.693139190363,1597.0866672896996,1583.3826982237151,1269.9951725426806,1418.1866629018916,1410.4781935001129,1594.978431634707,1582.812215169711,1285.7464830860777,1439.043132825755,1410.8465695951816,"Håvard Klemetsen,Magnus Moan","11,13",30.625598904859686,32.94455852156057,28.306639288158795,157.0,167,147
Germany,2012,7,5,2011-12-16,Seefeld,Austria,World Cup,M,2,Team Sprint,7.5,0,3237.0875171381113,3215.8624019605813,2539.9903450853612,2860.251507401471,2848.384840936484,3236.114171107245,3199.3349544252983,2571.4929661721553,2906.1782440017305,2826.098044388834,1618.5437585690556,1607.9312009802907,1269.9951725426806,1430.1257537007355,1424.192420468242,1618.0570855536225,1599.6674772126491,1285.7464830860777,1453.0891220008652,1413.049022194417,"Björn Kircheisen,Eric Frenzel","6,7",25.713894592744694,28.361396303901437,23.06639288158795,140.0,194,86
USA,2012,7,6,2011-12-16,Seefeld,Austria,World Cup,M,2,Team Sprint,7.5,0,2864.721033317551,2845.979883158898,2539.9903450853612,2735.1238054503324,2757.763342534559,2856.8330864958107,2859.114533962865,2571.4929661721553,2790.3360963869413,2725.5049999455578,1432.3605166587754,1422.989941579449,1269.9951725426806,1367.5619027251662,1378.8816712672794,1428.4165432479053,1429.5572669814326,1285.7464830860777,1395.1680481934707,1362.7524999727789,"Bill Demong,Bryan Fletcher","21,18",28.592744695414098,31.71526351813826,25.470225872689937,113.0,184,42
Germany,2012,7,7,2011-12-16,Seefeld,Austria,World Cup,M,2,Team Sprint,7.5,0,2651.269062246506,2630.5025531093697,2539.9903450853612,2546.6762470428644,2547.3880153664236,2640.023362918203,2610.086548111914,2571.4929661721553,2551.5474373779803,2600.0,1325.634531123253,1315.2512765546849,1269.9951725426806,1273.3381235214322,1273.6940076832118,1320.0116814591015,1305.043274055957,1285.7464830860777,1275.7737186889901,1300.0,"Manuel Faißt,Fabian Rießle","36,15",19.960301163586585,20.993839835728952,18.926762491444215,12.0,14,10
Austria,2012,7,8,2011-12-16,Seefeld,Austria,World Cup,M,2,Team Sprint,7.5,0,3156.1270959455796,3130.722706929325,2539.9903450853612,2901.8691350446925,2821.046643007283,3160.3398543553812,3105.924140354532,2571.4929661721553,2955.140158876109,2821.26024774073,1578.0635479727898,1565.3613534646624,1269.9951725426806,1450.9345675223462,1410.5233215036415,1580.1699271776906,1552.962070177266,1285.7464830860777,1477.5700794380546,1410.630123870365,"Bernhard Gruber,Mario Stecher","5,16",31.879534565366185,34.41478439425051,29.34428473648186,198.0,264,132
